industry,year,quantity_change
81,1949,0.9984074896245535
Government,1949,1.0540736203151975
Federal,1949,1.0305688073394494
GFG,1949,1.030030476473649
GFGD,1949,0.0
GFGN,1949,0.0
GFE,1949,1.0370439721624067
State_Local,1949,1.0919229192291924
GSLG,1949,1.0954066383514236
GSLE,1949,1.0624113475177306
Private_Goods_Industries,1949,1.0262863766196135
Private_Services_Industries,1949,1.0182528062469498
Information_Communications_Technology_Industries,1949,0.0
All_Industries,1950,1.1064434821947908
Private_Industries,1950,1.1162295300226335
Agriculture_Forestry_Fishing_Hunting,1950,1.0670743736437167
111CA,1950,1.056622336816393
113FF,1950,1.2445875946340816
Mining,1950,1.11076117632623
211,1950,1.0874660013497208
212,1950,1.1179588464096415
213,1950,1.1455465643335836
22,1950,1.1153132166126742
23,1950,1.2182357790601814
Manufacturing,1950,1.1335059832112877
Durable_Goods,1950,1.196716811244098
321,1950,1.1957684665604054
327,1950,1.2058733812151632
331,1950,1.2752436761977677
332,1950,1.1931805753035107
333,1950,1.0843731133024752
334,1950,1.0891218872870247
335,1950,0.952213257254937
3361MV,1950,1.340747605807847
3364OT,1950,0.9752635361763297
337,1950,1.327997819059859
339,1950,1.1297417462870116
Nondurable_Goods,1950,1.0809309978404689
311FT,1950,1.0111702986279258
313TT,1950,1.1191514236305622
315AL,1950,1.011622197958421
322,1950,1.170195597443677
323,1950,1.026626131694117
324,1950,1.2673141164720874
325,1950,1.1858842538190364
326,1950,1.226426499032882
42,1950,1.15447022553951
44RT,1950,1.1351517953459702
441,1950,0.0
445,1950,0.0
452,1950,0.0
4A0,1950,0.0
Transportation_Warehousing,1950,1.1376897252825193
481,1950,0.0
482,1950,0.0
483,1950,0.0
484,1950,0.0
485,1950,0.0
486,1950,0.0
487OS,1950,0.0
493,1950,0.0
Information,1950,1.0252918287937742
511,1950,0.0
512,1950,0.0
513,1950,0.0
514,1950,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1950,1.0788674200996478
Finance_Insurance,1950,1.0886033141697666
521CI,1950,0.0
523,1950,0.0
524,1950,0.0
525,1950,0.0
RealEstate_Rental_Leasing,1950,1.0748511759539376
531,1950,1.0750791497060155
HS,1950,0.0
ORE,1950,0.0
532RL,1950,1.0727076591154263
Professional_BusinessServices,1950,1.0862847222222223
Professional_Scientific_TechnicalServices,1950,1.0779386712095402
5411,1950,0.0
5415,1950,0.0
5412OP,1950,0.0
55,1950,1.0821775523920083
Administrative_WasteManagementServices,1950,1.1186308829249318
561,1950,0.0
562,1950,0.0
EducationalServices_HealthCare_SocialAssistance,1950,1.0352351267109365
61,1950,1.0381644706951385
622HO,1950,1.034724166900028
621,1950,0.0
622,1950,0.0
623,1950,0.0
624,1950,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1950,1.003291859621715
Arts_Entertainment_Recreation,1950,0.9554922823317848
711AS,1950,0.0
713,1950,0.0
Accommodation_FoodServices,1950,1.0135570675807029
721,1950,0.9946577629382304
722,1950,1.0173330355148535
81,1950,1.0426313499927498
Government,1950,1.0047020287404902
Federal,1950,0.9663497489584447
GFG,1950,0.9755719131125064
GFGD,1950,0.0
GFGN,1950,0.0
GFE,1950,0.8544086668672887
State_Local,1950,1.063082006608591
GSLG,1950,1.0630430099806132
GSLE,1950,1.063571942076615
Private_Goods_Industries,1950,1.1339141658599547
Private_Services_Industries,1950,1.0930789877300613
Information_Communications_Technology_Industries,1950,0.0
All_Industries,1951,1.0402453271028038
Private_Industries,1951,1.0200978053435115
Agriculture_Forestry_Fishing_Hunting,1951,0.9935909286990818
111CA,1951,0.9913629796114947
113FF,1951,1.0263326396670402
Mining,1951,1.0763523216850168
211,1951,1.1144313224010831
212,1951,1.0409756273435247
213,1951,1.0914916858842092
22,1951,1.0743774680982998
23,1951,0.9784262241832012
Manufacturing,1951,1.0115024028992359
Durable_Goods,1951,1.0327568013946873
321,1951,1.0715237834383273
327,1951,1.0576520639300908
331,1951,1.0737773056851245
332,1951,1.1659829960813073
333,1951,1.160488099104533
334,1951,0.910950661853189
335,1951,1.0594541454051776
3361MV,1951,0.8396082949308756
3364OT,1951,1.3898544494257814
337,1951,0.9580632863133817
339,1951,0.973246807619845
Nondurable_Goods,1951,0.991945202004186
311FT,1951,0.9653267775613805
313TT,1951,0.9322836187947507
315AL,1951,0.9439872798788834
322,1951,1.0837677561715624
323,1951,0.9762772534982103
324,1951,1.0988885567542597
325,1951,1.045209636464978
326,1951,1.0795465746673238
42,1951,1.0050597329585382
44RT,1951,0.9866051226355327
441,1951,0.0
445,1951,0.0
452,1951,0.0
4A0,1951,0.0
Transportation_Warehousing,1951,1.068741947549977
481,1951,0.0
482,1951,0.0
483,1951,0.0
484,1951,0.0
485,1951,0.0
486,1951,0.0
487OS,1951,0.0
493,1951,0.0
Information,1951,1.0376056580990167
511,1951,0.0
512,1951,0.0
513,1951,0.0
514,1951,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1951,1.0582338364496509
Finance_Insurance,1951,1.0705187946567258
521CI,1951,0.0
523,1951,0.0
524,1951,0.0
525,1951,0.0
RealEstate_Rental_Leasing,1951,1.0532050118031597
531,1951,1.0533445519562474
HS,1951,0.0
ORE,1951,0.0
532RL,1951,1.0508849557522122
Professional_BusinessServices,1951,1.082147994246444
Professional_Scientific_TechnicalServices,1951,1.0746740418806795
5411,1951,0.0
5415,1951,0.0
5412OP,1951,0.0
55,1951,1.0797764227642277
Administrative_WasteManagementServices,1951,1.10778859527121
561,1951,0.0
562,1951,0.0
EducationalServices_HealthCare_SocialAssistance,1951,1.0051053802853775
61,1951,1.0091903719912472
622HO,1951,1.0040595399188093
621,1951,0.0
622,1951,0.0
623,1951,0.0
624,1951,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1951,1.0831386942498054
Arts_Entertainment_Recreation,1951,0.9583594730238394
711AS,1951,0.0
713,1951,0.0
Accommodation_FoodServices,1951,1.1092267312739752
721,1951,1.0263511245384358
722,1951,1.1257190532648311
81,1951,0.996615826804506
Government,1951,1.2777514855129621
Federal,1951,1.4798069128159774
GFG,1951,1.522062358989533
GFGD,1951,0.0
GFGN,1951,0.0
GFE,1951,0.9142011834319527
State_Local,1951,1.0055100310822265
GSLG,1951,0.9979736575481257
GSLE,1951,1.0727114716106605
Private_Goods_Industries,1951,1.0086084234490609
Private_Services_Industries,1951,1.0363062352012629
Information_Communications_Technology_Industries,1951,0.0
All_Industries,1952,1.0368914593744736
Private_Industries,1952,1.0222741888336744
Agriculture_Forestry_Fishing_Hunting,1952,1.029957203994294
111CA,1952,1.033262080580386
113FF,1952,0.9832852426629234
Mining,1952,1.0106395716802654
211,1952,1.031403452523582
212,1952,0.9521343839293446
213,1952,1.1196290365625836
22,1952,1.059659781287971
23,1952,1.0137221269296741
Manufacturing,1952,1.0195498091751694
Durable_Goods,1952,1.0091066589667275
321,1952,1.0075832452881632
327,1952,0.9574708644981736
331,1952,0.9167007161136319
332,1952,1.0652122641509434
333,1952,1.0840796417719494
334,1952,1.1704095112285338
335,1952,0.9368565242366665
3361MV,1952,0.8449189055682099
3364OT,1952,1.4331668949670804
337,1952,1.0414154091034313
339,1952,1.0479222231781813
Nondurable_Goods,1952,1.02960358056266
311FT,1952,1.0284107822060526
313TT,1952,1.0278377589728627
315AL,1952,1.1015297372166994
322,1952,0.9459431945434185
323,1952,1.0412986233792205
324,1952,1.0405806419704238
325,1952,1.0219825798423892
326,1952,0.9875821767713661
42,1952,1.0125856523563137
44RT,1952,1.0168791853958354
441,1952,0.0
445,1952,0.0
452,1952,0.0
4A0,1952,0.0
Transportation_Warehousing,1952,1.0013221854948473
481,1952,0.0
482,1952,0.0
483,1952,0.0
484,1952,0.0
485,1952,0.0
486,1952,0.0
487OS,1952,0.0
493,1952,0.0
Information,1952,1.0437240232751455
511,1952,0.0
512,1952,0.0
513,1952,0.0
514,1952,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1952,1.040659925492283
Finance_Insurance,1952,1.0149448636099825
521CI,1952,0.0
523,1952,0.0
524,1952,0.0
525,1952,0.0
RealEstate_Rental_Leasing,1952,1.051551724137931
531,1952,1.0513619298666028
HS,1952,0.0
ORE,1952,0.0
532RL,1952,1.0547368421052632
Professional_BusinessServices,1952,1.0456357997341603
Professional_Scientific_TechnicalServices,1952,1.0523897058823528
5411,1952,0.0
5415,1952,0.0
5412OP,1952,0.0
55,1952,1.0065882352941178
Administrative_WasteManagementServices,1952,1.1239799121155054
561,1952,0.0
562,1952,0.0
EducationalServices_HealthCare_SocialAssistance,1952,1.0485803594686116
61,1952,1.054640069384215
622HO,1952,1.047035040431267
621,1952,0.0
622,1952,0.0
623,1952,0.0
624,1952,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1952,1.0178672280125276
Arts_Entertainment_Recreation,1952,0.9933720644791753
711AS,1952,0.0
713,1952,0.0
Accommodation_FoodServices,1952,1.0223425555151073
721,1952,1.01210139002453
722,1952,1.0243017631455766
81,1952,1.0077216485254443
Government,1952,1.1765504753282028
Federal,1952,1.256355984959785
GFG,1952,1.2462091757387246
GFGD,1952,0.0
GFGN,1952,0.0
GFE,1952,1.4755740483895823
State_Local,1952,1.0246592665448926
GSLG,1952,1.0178680203045685
GSLE,1952,1.0817355297506526
Private_Goods_Industries,1952,1.0196092262114693
Private_Services_Industries,1952,1.0258948971820259
Information_Communications_Technology_Industries,1952,0.0
All_Industries,1953,1.0702913462579875
Private_Industries,1953,1.0719432689008348
Agriculture_Forestry_Fishing_Hunting,1953,1.0243285559436348
111CA,1953,1.0181801084537503
113FF,1953,1.110162322212235
Mining,1953,1.0506575495489396
211,1953,1.0418343640587677
