industry,year,price_change
81,1949,1.0101814142910033
Government,1949,1.03214535290007
Federal,1949,1.041479949442721
GFG,1949,1.041606246514222
GFGD,1949,0.0
GFGN,1949,0.0
GFE,1949,1.0398230088495575
State_Local,1949,1.0177310786406173
GSLG,1949,1.015943012211669
GSLE,1949,1.0333244822092407
Private_Goods_Industries,1949,0.9663475319612452
Private_Services_Industries,1949,1.0139821470890276
Information_Communications_Technology_Industries,1949,0.0
All_Industries,1950,1.0233218717297055
Private_Industries,1950,1.0240055344171566
Agriculture_Forestry_Fishing_Hunting,1950,1.018374390904169
111CA,1950,1.0177042563600782
113FF,1950,1.0291290205999277
Mining,1950,1.0127464058099898
211,1950,0.9925709140027014
212,1950,1.0256574141709278
213,1950,1.0243039389142377
22,1950,1.0105598148416026
23,1950,1.0258700696055685
Manufacturing,1950,1.0383626344791395
Durable_Goods,1950,1.052464015066589
321,1950,1.1357168696491018
327,1950,1.0314704716607215
331,1950,1.0585548552114734
332,1950,1.0405042700284668
333,1950,1.0399005377898571
334,1950,1.202036914192063
335,1950,1.2684726574345495
3361MV,1950,0.9978846910665092
3364OT,1950,1.0344827586206897
337,1950,1.033006938590234
339,1950,1.0251657056636312
Nondurable_Goods,1950,1.0262675225992401
311FT,1950,1.0245769106392155
313TT,1950,1.0707587873209459
315AL,1950,1.0276491325084676
322,1950,1.0245008410736487
323,1950,1.023454157782516
324,1950,0.9816001314276327
325,1950,1.0045590539962959
326,1950,1.087913334467699
42,1950,1.0537303556658395
44RT,1950,0.9719847504621072
441,1950,0.0
445,1950,0.0
452,1950,0.0
4A0,1950,0.0
Transportation_Warehousing,1950,0.9860933094078442
481,1950,0.0
482,1950,0.0
483,1950,0.0
484,1950,0.0
485,1950,0.0
486,1950,0.0
487OS,1950,0.0
493,1950,0.0
Information,1950,1.0480439604759026
511,1950,0.0
512,1950,0.0
513,1950,0.0
514,1950,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1950,1.0261860227852406
Finance_Insurance,1950,1.0279554815528877
521CI,1950,0.0
523,1950,0.0
524,1950,0.0
525,1950,0.0
RealEstate_Rental_Leasing,1950,1.0254561251086014
531,1950,1.02516010978957
HS,1950,0.0
ORE,1950,0.0
532RL,1950,1.028725679942956
Professional_BusinessServices,1950,1.0253770892784346
Professional_Scientific_TechnicalServices,1950,1.027511695255068
5411,1950,0.0
5415,1950,0.0
5412OP,1950,0.0
55,1950,1.0299964710034115
Administrative_WasteManagementServices,1950,1.008041789813733
561,1950,0.0
562,1950,0.0
EducationalServices_HealthCare_SocialAssistance,1950,1.029104217497386
61,1950,1.0282093213409649
622HO,1950,1.0293255131964807
621,1950,0.0
622,1950,0.0
623,1950,0.0
624,1950,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1950,1.010690952286676
Arts_Entertainment_Recreation,1950,1.0253916801728795
711AS,1950,0.0
713,1950,0.0
Accommodation_FoodServices,1950,1.0076818358615323
721,1950,1.0260837278381139
722,1950,1.0040674603174604
81,1950,1.0123694337548104
Government,1950,1.015572105619499
Federal,1950,1.0113636363636362
GFG,1950,1.0079246091240095
GFGD,1950,0.0
GFGN,1950,0.0
GFE,1950,1.0575256107171
State_Local,1950,1.021777706081626
GSLG,1950,1.0237061769616025
GSLE,1950,1.0042400102788127
Private_Goods_Industries,1950,1.0334598955861414
Private_Services_Industries,1950,1.0115300716734186
Information_Communications_Technology_Industries,1950,0.0
All_Industries,1951,1.0891161431701972
Private_Industries,1951,1.093298202945548
Agriculture_Forestry_Fishing_Hunting,1951,1.1720883867752119
111CA,1951,1.176396358501337
113FF,1951,1.11118134569462
Mining,1951,1.0679057515000732
211,1951,1.034021320027217
212,1951,1.0895575536366064
213,1951,1.085
22,1951,1.0468079015173204
23,1951,1.0834558407780164
Manufacturing,1951,1.1144748812291518
Durable_Goods,1951,1.095309104852797
321,1951,1.0956627913149652
327,1951,1.0661696895173685
331,1951,1.0875043148084227
332,1951,1.1109200343938093
333,1951,1.0955902797086137
334,1951,1.2689468456009818
335,1951,1.1582596222806598
3361MV,1951,1.0520088735518855
3364OT,1951,1.1110849056603773
337,1951,1.1261770244821094
339,1951,1.0709629941126997
Nondurable_Goods,1951,1.1326993042701219
311FT,1951,1.1388742766964755
313TT,1951,1.1298554773545373
315AL,1951,1.1199300464115152
322,1951,1.1811107938320962
323,1951,1.0696120689655173
324,1951,1.1168200836820084
325,1951,1.1214721316125371
326,1951,1.1617746728533442
42,1951,1.0880718389902353
44RT,1951,1.0830807630593688
441,1951,0.0
445,1951,0.0
452,1951,0.0
4A0,1951,0.0
Transportation_Warehousing,1951,1.0454279586664066
481,1951,0.0
482,1951,0.0
483,1951,0.0
484,1951,0.0
485,1951,0.0
486,1951,0.0
487OS,1951,0.0
493,1951,0.0
Information,1951,1.0512771177064792
511,1951,0.0
512,1951,0.0
513,1951,0.0
514,1951,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1951,1.059154929577465
Finance_Insurance,1951,1.062233589087809
521CI,1951,0.0
523,1951,0.0
524,1951,0.0
525,1951,0.0
RealEstate_Rental_Leasing,1951,1.0577819198508853
531,1951,1.057206604194556
HS,1951,0.0
ORE,1951,0.0
532RL,1951,1.065253985543123
Professional_BusinessServices,1951,1.0654010535732035
Professional_Scientific_TechnicalServices,1951,1.0711111111111111
5411,1951,0.0
5415,1951,0.0
5412OP,1951,0.0
55,1951,1.0673823663773412
Administrative_WasteManagementServices,1951,1.0457520796399835
561,1951,0.0
562,1951,0.0
EducationalServices_HealthCare_SocialAssistance,1951,1.0712955122777306
61,1951,1.0698475811795891
622HO,1951,1.0717592592592593
621,1951,0.0
622,1951,0.0
623,1951,0.0
624,1951,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1951,1.0288932419196866
Arts_Entertainment_Recreation,1951,1.061854583772392
711AS,1951,0.0
713,1951,0.0
Accommodation_FoodServices,1951,1.0226768310334846
721,1951,1.0586213135516556
722,1951,1.0159075190198597
81,1951,1.0820888768214318
Government,1951,1.0461333333333334
Federal,1951,1.028253518053889
GFG,1951,1.0266680832979176
GFGD,1951,0.0
GFGN,1951,0.0
GFE,1951,1.0560357675111773
State_Local,1951,1.0756236185664667
GSLG,1951,1.0781148075668623
GSLE,1951,1.0543756397134083
Private_Goods_Industries,1951,1.1149253731343283
Private_Services_Industries,1951,1.064078866296981
Information_Communications_Technology_Industries,1951,0.0
All_Industries,1952,1.0106639839034206
Private_Industries,1952,1.0092689859729345
Agriculture_Forestry_Fishing_Hunting,1952,0.9542155695413052
111CA,1952,0.9500178781222863
113FF,1952,1.0171923392958726
Mining,1952,1.0108263670001372
211,1952,1.0059223513928492
212,1952,1.0142168477816815
213,1952,1.0129870129870129
22,1952,1.0443046629290305
23,1952,1.0277632814946247
Manufacturing,1952,0.9906580200444425
Durable_Goods,1952,1.0205383538198227
321,1952,0.9735452299045496
327,1952,1.0149210697037412
331,1952,1.0203935883193143
332,1952,0.9919786096256685
333,1952,1.0092883971170439
334,1952,1.074501015620603
335,1952,1.1033367733058135
3361MV,1952,1.061668228678538
3364OT,1952,1.0024057171159697
337,1952,0.9701226309921961
339,1952,0.9831648179051733
Nondurable_Goods,1952,0.9629212216837598
311FT,1952,0.9852193995381062
313TT,1952,0.879885877318117
315AL,1952,0.9068168168168169
322,1952,0.9813236627379872
323,1952,1.0481563570421117
324,1952,1.0055447325041211
325,1952,0.9679418273790705
326,1952,0.962215042182732
42,1952,0.9935072430311075
44RT,1952,1.0237037037037036
441,1952,0.0
445,1952,0.0
452,1952,0.0
4A0,1952,0.0
Transportation_Warehousing,1952,1.0371130175307721
481,1952,0.0
482,1952,0.0
483,1952,0.0
484,1952,0.0
485,1952,0.0
486,1952,0.0
487OS,1952,0.0
493,1952,0.0
Information,1952,1.0461221688400824
511,1952,0.0
512,1952,0.0
513,1952,0.0
514,1952,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1952,1.0488892365456821
Finance_Insurance,1952,1.0489566613162118
521CI,1952,0.0
523,1952,0.0
