"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    14","      Wood products",52.488,44.339,45.799,54.765,58.682,59.127,59.299,58.188,65.289,62.990,59.364,58.106,61.963,58.337,56.943,58.500,61.104,64.568,67.561,68.972,71.944,75.146,76.920,85.507,88.251,104.537,101.026,102.337,96.035,102.600,104.139,99.413,98.215,96.061,95.042,86.056,94.078,104.845,105.209,110.746,127.976,127.952,125.141,123.151,113.880,120.107,121.744,129.536,132.435,135.575,138.338
"    15","      Nonmetallic mineral products",37.987,36.487,36.061,43.485,45.992,44.036,45.727,44.310,49.877,50.282,47.457,56.098,64.987,64.858,65.874,70.135,76.069,79.856,85.574,88.843,86.212,89.848,92.123,87.966,91.161,102.536,108.297,105.645,95.240,99.953,106.939,113.891,113.622,102.368,98.118,88.244,93.140,99.141,100.136,103.101,114.476,115.517,114.624,113.032,104.189,108.219,110.478,115.296,118.248,125.857,130.131
"    16","      Primary metals",91.789,70.307,67.918,86.612,93.002,85.255,103.955,98.737,118.037,116.301,103.108,89.467,103.175,103.196,102.961,110.870,118.578,130.625,142.681,150.602,140.007,147.666,153.273,137.203,133.927,146.550,170.660,173.031,133.352,144.739,147.522,157.463,161.733,146.138,145.810,108.593,110.252,115.647,107.345,104.108,108.518,120.860,119.897,117.318,111.052,113.559,118.331,124.974,127.231,130.526,134.758
"    17","      Fabricated metal products",38.941,35.887,36.572,43.637,50.880,54.198,60.724,50.091,51.564,52.233,51.870,46.678,51.210,49.188,47.108,50.169,52.019,55.735,61.902,69.888,76.484,81.045,82.605,75.204,73.697,79.756,88.275,86.727,77.967,83.109,88.967,93.519,97.909,93.791,93.008,84.963,83.001,88.235,88.325,87.687,89.351,93.412,92.874,92.857,89.498,92.346,95.325,102.809,108.319,112.599,117.714
"    18","      Machinery",23.175,21.099,19.876,21.553,25.012,27.115,27.009,24.600,26.456,27.960,26.248,25.417,27.822,28.246,28.504,31.326,34.069,38.276,42.970,49.290,51.544,52.525,56.279,59.260,64.007,80.002,90.694,93.164,83.454,84.272,89.800,95.765,100.635,95.783,95.508,81.608,72.627,81.797,83.767,80.729,84.785,92.033,96.492,93.623,88.106,88.000,93.704,102.299,110.236,112.724,118.651
"    19","      Computer and electronic products",0.800,0.777,0.763,0.831,0.757,0.886,1.022,1.090,1.010,1.071,1.316,1.614,1.735,1.721,1.848,2.077,2.328,2.382,2.732,3.198,3.327,3.504,3.699,3.610,3.534,3.937,4.478,4.808,4.499,5.077,6.102,6.986,8.109,9.219,10.101,10.913,12.097,14.545,15.652,16.103,17.758,19.402,19.855,21.099,21.594,23.779,25.706,29.789,37.478,45.000,54.526
"    20","      Electrical equipment, appliances, and components",49.182,47.045,44.866,42.722,45.262,42.404,41.947,41.514,40.873,42.995,40.510,44.867,45.307,44.963,47.304,52.793,57.942,62.397,70.265,78.237,78.644,81.532,85.548,82.166,80.635,89.854,100.155,97.468,80.626,87.942,97.027,102.029,105.288,98.458,96.552,88.256,91.034,100.912,100.904,102.551,105.966,109.582,110.551,107.003,100.836,107.975,115.354,124.108,128.436,132.626,137.859
"    21","      Motor vehicles, bodies and trailers, and parts",26.921,28.001,32.370,43.400,36.439,30.788,40.705,38.903,49.082,40.670,42.408,33.794,42.646,47.070,40.164,49.650,53.692,57.732,69.236,69.076,59.855,69.459,70.184,58.703,72.449,77.117,86.707,73.179,64.522,79.663,89.670,96.055,90.336,69.028,69.245,63.047,77.140,91.183,92.131,91.745,94.349,100.189,101.530,92.105,86.054,96.979,107.109,122.457,125.801,126.221,138.601
"    22","      Other transportation equipment",15.621,15.899,16.696,16.283,22.631,32.434,33.974,39.109,35.937,37.221,41.862,42.965,43.216,41.082,43.598,45.716,47.582,48.375,51.658,60.555,68.892,72.742,72.270,64.823,60.604,59.607,67.378,67.848,65.872,63.853,64.076,68.129,76.817,79.571,75.094,67.744,68.785,69.582,77.229,85.129,85.581,88.469,88.292,94.030,90.798,88.933,81.485,73.326,69.141,72.602,81.564
"    23","      Furniture and related products",29.468,26.140,25.677,34.099,32.669,34.022,37.127,35.138,40.018,41.162,39.851,46.303,49.782,48.373,47.286,51.072,50.678,53.658,57.832,61.050,61.025,63.512,65.623,63.211,65.610,76.450,81.145,74.723,65.103,71.693,82.756,89.366,88.413,85.910,85.413,81.375,88.068,97.655,98.718,102.376,114.764,113.299,113.973,111.084,102.710,110.731,114.231,118.385,120.434,122.419,135.817
