"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    31","      Petroleum and coal products",40.509,31.898,36.486,53.178,49.379,46.902,56.857,69.039,92.825,108.848,119.678,151.176,100.000,129.022,169.001,171.069,164.570,156.185,101.731,82.356,"98.953(u)"
"    32","      Chemical products",66.774,66.785,66.871,70.630,71.056,70.971,74.149,78.634,86.243,91.340,94.193,105.213,100.000,107.512,119.233,118.963,119.957,121.756,115.214,113.036,"118.428(u)"
"    33","      Plastics and rubber products",76.586,76.059,76.247,78.054,78.770,78.616,80.250,82.369,88.291,93.909,94.156,100.600,100.000,102.783,109.227,111.929,113.691,114.662,113.301,111.589,"113.841(u)"
"    34","  Wholesale trade",84.150,83.186,83.349,84.248,82.581,82.432,82.273,84.830,87.169,90.240,92.338,95.368,100.000,102.290,104.685,107.282,108.415,109.452,110.490,110.822,112.804
"    35","  Retail trade",85.169,84.642,85.511,87.369,87.574,87.603,87.722,89.663,91.950,94.811,97.299,99.607,100.000,101.018,102.997,105.157,106.311,107.492,109.019,109.035,109.940
"    36","    Motor vehicle and parts dealers",82.454,82.911,85.957,87.861,86.036,92.357,93.078,93.063,95.474,99.384,100.206,98.862,100.000,103.231,105.700,105.734,104.239,104.080,102.840,98.907,"98.830(u)"
"    37","    Food and beverage stores",66.442,67.372,68.713,70.457,73.987,75.553,78.286,81.970,87.059,89.806,92.432,98.133,100.000,97.681,102.579,106.851,108.978,111.889,117.295,121.080,"122.207(u)"
"    38","    General merchandise stores",99.152,98.906,98.582,98.604,99.130,96.979,94.095,96.356,96.709,98.201,99.267,102.852,100.000,106.701,107.970,115.697,116.149,115.899,115.873,116.938,"119.719(u)"
"    39","    Other retail",88.945,87.386,87.470,89.773,89.486,87.257,87.062,89.059,91.010,93.936,97.213,99.255,100.000,99.698,100.915,101.690,103.547,105.040,106.863,107.057,"107.817(u)"
"    40","  Transportation and warehousing",70.063,70.590,72.704,77.488,80.381,81.711,83.987,86.601,90.996,94.866,97.639,104.536,100.000,104.012,109.867,113.029,115.051,116.944,115.219,114.429,117.541
"    41","    Air transportation",62.774,62.635,65.780,76.085,81.878,83.400,85.120,85.838,91.249,96.470,98.784,108.833,100.000,107.418,117.339,122.497,123.317,124.576,118.729,115.419,"118.046(u)"
"    42","    Rail transportation",67.838,68.707,68.700,69.697,71.083,72.634,73.661,76.389,83.912,91.041,94.436,105.210,100.000,104.776,113.289,118.341,122.040,124.143,120.018,117.689,"121.493(u)"
"    43","    Water transportation",72.241,74.753,82.066,88.470,91.794,95.271,103.613,105.021,107.353,107.855,106.796,115.601,100.000,108.882,111.695,110.838,110.558,114.641,113.874,110.828,"116.984(u)"
"    44","    Truck transportation",72.204,73.768,75.756,78.905,81.133,82.246,84.526,87.792,92.748,96.324,98.275,104.698,100.000,101.751,107.561,111.183,112.750,114.571,112.534,111.791,"113.999(u)"
"    45","    Transit and ground passenger transportation",67.513,68.082,68.156,69.987,72.157,73.968,78.265,82.270,85.728,89.944,91.332,95.882,100.000,104.308,109.493,113.076,119.493,119.375,118.148,120.617,"128.900(u)"
"    46","    Pipeline transportation",74.311,71.493,70.772,73.371,75.540,76.548,78.102,81.480,84.640,91.069,95.651,101.139,100.000,108.113,112.701,114.876,121.736,124.248,123.966,129.035,"132.247(u)"
"    47","    Other transportation and support activities",70.857,70.451,72.384,76.802,79.071,80.103,82.117,85.634,89.312,92.658,97.170,102.290,100.000,104.520,110.816,114.693,118.390,121.547,122.553,122.566,"125.423(u)"
"    48","    Warehousing and storage",80.787,81.779,83.661,85.142,86.934,88.014,89.158,89.811,90.212,91.023,95.649,99.461,100.000,98.491,96.741,94.698,93.497,93.687,94.963,95.599,"97.941(u)"
"    49","  Information",98.061,98.355,98.839,99.317,99.761,99.494,99.953,99.981,99.617,100.032,99.602,99.958,100.000,99.904,100.105,100.572,101.302,101.658,101.204,101.179,101.291
"    50","    Publishing industries, except internet (includes software)",83.804,85.607,87.606,89.772,91.683,92.317,93.217,92.963,94.506,96.997,97.702,99.410,100.000,99.329,100.065,100.439,101.391,101.963,102.152,102.926,"103.497(u)"
"    51","    Motion picture and sound recording industries",78.238,79.214,82.748,86.431,89.202,90.683,90.421,92.496,94.614,96.507,98.114,99.875,100.000,100.251,100.492,101.269,102.013,103.343,104.626,106.916,"109.527(u)"
"    52","    Broadcasting and telecommunications",111.504,110.426,108.992,107.547,106.562,105.334,105.796,105.598,103.405,102.252,100.958,100.304,100.000,100.082,100.028,100.505,101.300,101.456,100.332,99.782,"99.336(u)"
"    53","    Data processing, internet publishing, and other information services",91.693,93.567,95.122,96.696,97.811,98.099,98.223,97.363,98.451,99.951,98.784,99.535,100.000,99.903,100.212,100.541,100.613,100.706,100.709,100.020,"99.971(u)"
"    54","  Finance, insurance, real estate, rental, and leasing",82.178,83.085,83.653,85.334,86.411,88.485,90.624,93.055,95.408,97.929,100.072,101.741,100.000,101.216,102.672,105.179,107.956,111.224,113.831,117.257,120.214
"    55","    Finance and insurance",92.700,92.452,90.853,91.316,90.575,92.002,94.392,97.092,99.270,101.223,103.670,105.027,100.000,102.974,104.876,108.435,112.427,117.379,120.531,125.361,127.927
"    56","      Federal Reserve banks, credit intermediation, and related activities",94.829,94.110,92.351,96.248,96.462,98.160,100.573,103.171,105.201,107.952,110.147,111.296,100.000,104.515,105.768,111.361,117.379,124.848,130.424,141.794,"147.216(u)"
"    57","      Securities, commodity contracts, and investments",108.889,106.226,100.148,93.171,87.049,86.328,87.463,90.736,93.722,95.632,100.810,104.699,100.000,102.703,106.176,109.731,116.049,124.636,127.669,128.759,"131.715(u)"
"    58","      Insurance carriers and related activities",81.975,83.191,84.049,85.152,87.045,89.374,92.622,95.132,96.840,97.880,98.614,98.665,100.000,101.442,103.059,104.297,105.369,106.412,107.398,108.565,"109.279(u)"
"    59","      Funds, trusts, and other financial vehicles",87.923,88.847,88.742,91.881,91.643,94.325,96.311,98.818,101.952,104.841,107.578,108.047,100.000,104.200,105.893,113.756,118.241,124.729,131.471,142.812,"143.912(u)"
"    60","    Real estate and rental and leasing",74.763,76.391,78.428,80.999,83.434,85.982,87.941,90.183,92.652,95.563,97.487,99.383,100.000,99.969,101.117,102.919,104.899,107.080,109.334,111.866,115.060
"    61","      Real estate",74.326,76.320,78.474,80.860,83.528,86.349,88.211,90.415,92.865,95.799,97.698,99.460,100.000,99.885,100.994,102.855,104.915,107.226,109.876,112.804,"116.269(u)"
"    62","        Housing",70.146,72.369,74.420,76.776,79.837,83.012,85.199,87.442,89.772,92.983,96.267,98.337,100.000,100.085,101.470,103.621,106.078,109.022,112.344,116.142,"120.127(u)"
"    63","        Other real estate",83.067,84.401,86.759,89.162,90.807,92.747,93.900,96.024,98.695,101.178,100.647,101.825,100.000,99.459,99.986,101.247,102.542,103.713,105.184,106.601,"109.170(u)"
"    64","      Rental and leasing services and lessors of intangible assets",78.161,76.776,77.920,81.850,82.534,82.918,85.670,88.225,90.860,93.564,95.715,98.733,100.000,100.733,102.224,103.528,104.834,105.958,105.010,104.296,"105.262(u)"
"    65","  Professional and business services",72.834,74.983,77.548,80.878,82.080,83.070,84.475,87.815,90.581,93.941,97.507,99.416,100.000,100.981,102.396,103.715,105.223,106.106,107.906,108.850,110.127
"    66","    Professional, scientific, and technical services",74.419,76.310,78.852,81.853,83.438,84.370,86.130,88.461,91.531,94.681,97.663,99.479,100.000,101.278,102.931,104.458,106.137,107.230,109.105,109.840,111.276
"    67","      Legal services",62.314,65.112,66.795,69.033,72.170,74.988,77.936,82.630,88.386,91.825,95.723,98.621,100.000,103.410,107.408,110.724,114.662,118.510,122.526,125.256,"128.535(u)"
"    68","      Computer systems design and related services",93.585,92.842,95.022,98.353,99.324,98.340,97.604,96.559,96.929,98.496,99.527,100.629,100.000,99.354,99.725,99.964,100.678,100.721,100.431,99.768,"99.899(u)"
"    69","      Miscellaneous professional, scientific, and technical services",74.024,76.098,79.016,82.200,83.422,84.173,86.089,88.358,91.149,94.564,97.729,99.417,100.000,101.232,102.648,104.110,105.532,106.302,108.347,109.069,"110.513(u)"
"    70","    Management of companies and enterprises",60.579,63.955,66.967,71.566,70.624,71.570,73.230,81.199,84.736,89.782,96.799,98.587,100.000,101.102,102.057,102.911,103.855,102.836,104.133,104.116,104.129
"    71","    Administrative and waste management services",77.356,79.244,81.553,84.823,86.522,87.685,88.039,90.674,92.204,94.940,97.601,99.804,100.000,100.184,101.346,102.502,104.020,105.809,107.805,109.895,111.717
"    72","      Administrative and support services",78.045,80.215,82.547,85.735,87.251,88.280,88.332,91.032,92.555,95.317,97.911,99.822,100.000,99.841,100.785,101.911,103.398,105.091,107.230,109.227,"110.945(u)"
"    73","      Waste management and remediation services",72.120,72.064,74.200,78.042,81.086,83.232,85.830,87.977,89.561,92.104,95.267,99.673,100.000,102.739,105.539,106.926,108.703,111.288,111.996,114.925,"117.729(u)"
"    74","  Educational services, health care, and social assistance",70.609,72.547,74.452,76.875,79.734,81.711,84.150,86.791,89.605,92.158,95.327,97.909,100.000,102.052,103.998,105.729,107.348,109.041,110.347,112.127,114.110
"    75","    Educational services",66.056,68.130,70.494,73.406,75.872,77.780,80.980,84.382,87.895,91.392,94.594,98.036,100.000,102.293,105.114,107.985,110.850,113.582,115.686,118.045,120.652
"    76","    Health care and social assistance",71.288,73.204,75.037,77.383,80.302,82.290,84.612,87.140,89.854,92.271,95.436,97.890,100.000,102.015,103.824,105.380,106.812,108.352,109.542,111.240,113.137
"    77","      Ambulatory health care services",75.401,77.157,78.837,80.658,83.140,84.220,86.062,88.241,90.645,92.371,95.747,97.821,100.000,102.134,103.678,105.005,105.882,106.913,107.045,108.049,"109.213(u)"
"    78","      Hospitals",68.367,70.198,71.959,74.366,77.673,80.454,83.389,86.342,89.310,92.452,95.232,97.923,100.000,101.956,103.823,105.696,107.699,109.704,111.594,113.670,"115.982(u)"
