"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    31","      Petroleum and coal products",90.269,88.481,90.921,90.504,91.163,94.107,89.452,97.355,103.016,102.241,104.942,100.957,100.000,97.286,99.690,101.099,104.422,101.575,100.830,105.426,"109.361(u)"
"    32","      Chemical products",99.804,101.099,102.925,102.948,100.196,106.287,106.199,111.287,113.511,115.814,124.076,112.289,100.000,106.788,105.020,108.708,108.980,109.589,110.267,115.027,"113.553(u)"
"    33","      Plastics and rubber products",124.397,128.992,135.402,136.486,129.261,131.869,131.302,132.718,134.240,133.584,131.193,118.093,100.000,108.363,109.710,115.681,117.721,120.880,123.296,127.027,"124.499(u)"
"    34","  Wholesale trade",81.446,85.152,90.963,96.115,95.655,99.299,103.041,110.428,117.319,121.419,125.891,125.922,100.000,112.176,118.770,123.188,127.266,130.918,130.639,130.369,138.393
"    35","  Retail trade",81.842,85.675,90.666,92.949,92.414,97.145,103.000,108.153,109.748,111.736,111.031,105.173,100.000,107.495,108.615,112.731,116.378,119.657,124.378,128.883,133.364
"    36","    Motor vehicle and parts dealers",137.592,136.743,148.346,144.291,133.285,147.337,147.927,152.041,144.480,140.495,139.509,123.557,100.000,130.613,130.402,148.096,155.158,162.029,175.849,190.122,"192.620(u)"
"    37","    Food and beverage stores",101.085,102.726,105.945,104.085,107.022,105.792,105.415,106.580,104.407,106.906,105.409,103.179,100.000,106.117,104.963,103.110,102.749,103.301,103.198,102.468,"104.532(u)"
"    38","    General merchandise stores",55.765,59.227,63.318,65.430,66.499,68.283,79.416,85.116,88.918,89.946,93.600,93.219,100.000,97.274,95.117,88.908,91.050,92.937,95.846,94.998,"95.100(u)"
"    39","    Other retail",72.973,78.334,82.482,87.149,87.595,92.596,99.503,105.766,109.833,113.441,111.622,105.338,100.000,105.807,108.990,115.175,119.743,123.492,128.257,134.087,"141.194(u)"
"    40","  Transportation and warehousing",92.380,96.058,98.453,98.582,93.691,92.948,95.546,102.477,106.540,111.481,114.793,112.283,100.000,105.000,108.836,111.459,113.171,118.517,121.142,120.557,122.090
"    41","    Air transportation",133.572,130.098,127.813,119.227,96.013,88.559,94.673,103.016,107.390,110.299,115.837,111.222,100.000,104.896,106.510,106.643,107.640,110.429,116.618,118.555,"115.754(u)"
"    42","    Rail transportation",103.814,102.388,103.755,103.911,103.378,102.819,103.770,110.265,113.212,117.665,118.399,119.313,100.000,115.450,121.392,120.983,120.941,128.324,122.445,114.602,"118.369(u)"
"    43","    Water transportation",69.100,67.537,64.912,63.363,61.407,57.483,61.304,72.198,74.289,79.479,91.949,96.199,100.000,100.775,102.919,108.671,111.401,110.389,106.512,105.058,"104.530(u)"
"    44","    Truck transportation",97.542,102.609,106.627,109.387,106.843,107.414,107.485,114.463,120.054,123.202,123.556,117.793,100.000,106.811,112.230,116.006,117.898,126.037,127.764,126.969,"127.989(u)"
"    45","    Transit and ground passenger transportation",79.331,85.825,85.129,81.931,81.984,81.880,79.158,89.577,95.463,104.044,108.682,104.735,100.000,97.343,98.876,101.733,102.186,111.495,115.514,110.553,"107.677(u)"
"    46","    Pipeline transportation",136.150,141.120,142.430,131.997,125.477,121.374,120.089,118.619,113.130,111.650,112.872,121.174,100.000,99.596,101.254,99.803,100.524,106.533,112.427,107.947,"109.059(u)"
"    47","    Other transportation and support activities",74.259,83.702,89.830,94.286,94.505,96.584,99.209,103.789,106.705,112.953,114.958,112.566,100.000,101.409,104.101,105.755,107.096,111.273,116.006,117.706,"120.868(u)"
"    48","    Warehousing and storage",45.869,49.283,52.332,55.932,58.879,63.432,71.402,77.828,82.916,95.050,101.558,103.314,100.000,109.055,116.974,125.585,131.714,135.389,138.061,138.758,"150.997(u)"
"    49","  Information",61.557,67.830,76.070,83.608,85.480,86.818,86.747,89.625,93.539,96.619,100.662,103.137,100.000,104.286,108.464,112.731,116.192,121.849,127.665,133.019,138.921
"    50","    Publishing industries, except internet (includes software)",79.481,87.249,94.820,98.800,98.687,99.033,96.852,102.619,104.548,105.273,108.715,108.157,100.000,101.253,104.273,104.601,106.791,111.028,111.633,117.121,"123.721(u)"
"    51","    Motion picture and sound recording industries",87.541,93.969,97.107,101.360,99.724,104.606,111.748,109.390,110.371,110.469,109.814,105.490,100.000,107.771,108.956,113.024,115.482,112.650,117.881,117.958,"117.153(u)"
"    52","    Broadcasting and telecommunications",54.816,61.047,70.228,79.226,82.391,82.945,82.227,84.196,89.348,92.893,97.291,101.020,100.000,104.454,108.487,112.642,115.432,122.105,127.940,133.445,"136.221(u)"
"    53","    Data processing, internet publishing, and other information services",38.548,41.287,48.839,57.539,59.234,63.669,65.061,71.445,75.431,83.706,91.540,100.638,100.000,106.677,116.925,130.452,140.991,152.864,170.564,180.126,"206.884(u)"
"    54","  Finance, insurance, real estate, rental, and leasing",66.979,71.735,77.492,83.914,85.508,86.832,90.152,95.321,102.001,104.728,106.305,102.605,100.000,101.073,101.760,103.176,105.437,109.303,111.695,113.106,116.601
"    55","    Finance and insurance",60.995,67.558,76.331,85.660,86.639,86.651,89.249,92.981,98.216,103.060,107.238,101.662,100.000,98.916,98.064,97.617,99.041,101.166,104.131,103.603,108.344
"    56","      Federal Reserve banks, credit intermediation, and related activities",65.511,71.445,80.843,84.811,90.332,94.751,95.622,94.880,97.683,97.832,97.120,93.357,100.000,92.124,87.845,86.762,83.518,81.965,83.688,81.957,"84.079(u)"
"    57","      Securities, commodity contracts, and investments",46.686,57.059,72.068,95.115,89.449,82.607,87.723,94.533,101.471,116.390,123.927,102.553,100.000,101.086,95.880,96.149,97.397,97.027,95.515,95.187,"100.650(u)"
"    58","      Insurance carriers and related activities",66.066,69.834,72.777,77.802,79.424,80.537,84.500,90.627,97.571,101.417,107.716,108.694,100.000,104.094,108.956,109.302,114.254,122.776,128.832,131.598,"138.355(u)"
