"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    66","    Professional, scientific, and technical services",8.264,8.755,8.978,9.225,9.881,10.319,10.683,10.952,11.304,11.813,12.237,12.481,12.850,13.132,13.265,13.523,13.481,13.798,14.076,14.424,14.808,15.275,15.995,16.858,17.695,18.292,19.647,21.258,23.344,24.974,26.654,28.287,30.534,33.699,37.200,40.840,44.050,46.508,48.438,50.095,52.640,54.884,57.029,59.570,62.031,64.232,66.045,67.849,70.195,71.980,74.419
"    67","      Legal services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",7.135,7.388,7.671,7.955,8.244,8.566,9.089,9.732,10.304,10.799,11.802,12.773,13.658,14.584,15.613,16.696,18.107,20.520,23.247,26.341,29.981,32.754,34.908,37.199,40.134,41.680,44.078,47.235,49.820,52.331,54.399,56.082,57.863,59.888,62.314
"    68","      Computer systems design and related services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.939,17.445,17.884,18.462,19.046,20.085,21.451,22.981,24.536,24.983,27.581,29.186,33.030,36.148,39.256,41.480,44.842,48.896,53.966,59.370,63.411,65.758,67.743,68.247,70.760,74.295,77.432,80.418,83.153,85.830,88.134,90.424,93.807,95.149,93.585
"    69","      Miscellaneous professional, scientific, and technical services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",15.891,16.166,16.353,16.653,17.015,17.452,18.131,18.937,19.753,20.327,21.591,23.423,25.934,27.677,29.427,31.145,33.548,36.724,40.154,43.551,46.120,48.230,49.899,51.241,53.425,55.737,57.531,59.592,61.823,63.711,65.260,66.971,69.319,71.018,74.024
"    70","    Management of companies and enterprises",7.850,8.251,8.501,8.756,9.346,9.774,10.196,10.597,10.977,11.496,11.949,12.217,12.666,12.979,13.095,13.263,13.119,13.373,13.459,13.719,14.247,14.764,15.261,15.908,16.479,16.776,17.191,19.674,22.041,23.067,24.332,26.125,28.306,31.598,35.794,37.195,38.447,39.471,40.588,41.201,41.768,43.760,43.021,43.454,46.891,50.805,54.102,55.322,57.665,59.975,60.579
"    71","    Administrative and waste management services",14.214,15.084,14.549,14.666,15.337,14.985,14.957,14.819,14.703,15.032,14.910,14.814,15.016,14.880,14.833,14.942,14.895,15.190,15.581,15.886,16.545,16.847,17.662,18.759,20.132,20.713,22.121,23.077,25.697,27.830,30.549,32.549,35.247,38.494,42.487,45.960,48.216,50.215,52.068,53.499,54.830,57.685,59.880,62.837,65.064,67.806,69.470,71.611,73.576,75.522,77.356
"    72","      Administrative and support services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",14.628,14.925,15.233,15.464,16.193,16.306,17.014,18.074,19.238,19.591,21.145,22.109,25.004,27.615,30.124,31.803,34.335,37.325,41.014,44.973,47.983,50.272,52.202,53.774,55.154,58.069,60.204,63.137,65.501,68.402,69.987,72.174,74.200,76.189,78.045
"    73","      Waste management and remediation services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.411,16.716,17.353,17.888,18.352,19.287,20.491,21.755,23.886,25.289,26.200,27.146,28.793,29.336,32.863,36.157,39.607,44.100,49.674,50.285,48.455,48.897,50.324,51.022,52.076,54.562,57.031,60.069,61.488,63.301,65.369,67.217,68.797,70.453,72.120
"    74","  Educational services, health care, and social assistance",5.371,5.525,5.738,5.905,6.326,6.673,6.929,7.205,7.475,7.743,8.075,8.369,8.662,8.885,9.030,9.214,9.463,9.734,10.051,10.459,11.075,11.647,12.313,13.139,13.904,14.631,15.411,16.983,18.795,20.455,22.082,23.785,26.015,29.008,32.176,34.912,37.199,39.394,41.377,43.297,45.587,48.446,51.531,54.745,57.841,60.634,63.045,65.311,67.393,68.956,70.609
"    75","    Educational services",6.877,7.100,7.338,7.545,8.072,8.484,8.787,9.108,9.424,9.748,10.147,10.491,10.843,11.103,11.264,11.464,11.722,12.018,12.358,12.769,13.215,13.698,14.321,15.148,15.983,16.968,18.190,20.382,22.202,23.731,25.321,26.894,29.445,32.650,35.880,38.229,40.128,42.033,43.608,44.978,46.812,49.047,51.256,53.575,55.685,57.356,58.813,60.509,62.360,64.238,66.056
"    76","    Health care and social assistance",5.105,5.247,5.456,5.616,6.019,6.355,6.603,6.871,7.134,7.392,7.713,7.999,8.282,8.499,8.641,8.824,9.074,9.342,9.657,10.069,10.731,11.330,12.013,12.849,13.607,14.287,14.985,16.450,18.270,19.959,21.597,23.326,25.508,28.472,31.633,34.430,36.777,39.016,41.062,43.065,45.423,48.374,51.588,54.934,58.174,61.129,63.678,66.028,68.144,69.660,71.288
"    77","      Ambulatory health care services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",9.246,9.471,9.811,10.312,11.013,11.626,12.370,13.252,14.161,14.704,15.225,16.584,18.534,20.426,22.220,23.961,26.037,28.913,31.900,34.588,37.112,39.569,42.005,44.690,47.436,50.610,53.923,57.462,60.810,64.118,67.021,69.982,72.242,73.417,75.401
"    78","      Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    79","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    80","      Social assistance","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",13.254,13.409,13.714,14.162,14.639,15.169,16.035,16.757,17.627,18.423,19.495,21.999,24.044,25.994,27.555,29.534,32.453,36.486,39.919,41.580,42.661,43.994,45.121,46.441,48.007,50.706,53.248,55.760,58.366,60.437,62.189,63.986,66.008,67.923,69.704
"    81","  Arts, entertainment, recreation, accommodation, and food services",9.386,10.010,10.102,10.210,10.505,10.962,11.222,11.616,11.765,11.838,12.247,12.516,12.978,13.283,13.507,13.763,13.990,14.266,14.602,15.147,15.883,16.676,17.644,18.860,19.864,20.626,21.821,24.020,26.027,27.578,29.353,31.504,34.366,37.462,40.501,42.490,44.345,46.176,47.925,49.642,51.617,53.570,55.946,58.564,60.963,62.328,63.678,64.924,66.449,68.225,70.022
"    82","    Arts, entertainment, and recreation",8.557,9.056,9.255,9.490,10.077,10.519,10.931,11.302,11.591,12.040,12.449,12.751,13.212,13.545,13.847,14.117,14.513,14.993,15.505,16.162,16.822,17.770,18.772,20.033,21.111,22.016,23.132,24.833,26.814,28.106,29.559,31.361,33.635,35.889,38.335,40.209,42.274,44.383,46.170,47.919,49.740,51.776,54.215,57.042,59.683,60.974,62.253,63.956,65.702,67.906,69.638
"    83","      Performing arts, spectator sports, museums, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",13.062,13.517,13.998,14.619,15.219,16.218,17.258,18.485,19.466,20.165,21.093,22.396,24.178,25.115,26.173,27.701,29.713,31.168,33.218,34.931,37.210,39.593,41.378,43.033,44.808,47.295,49.868,52.692,55.429,56.339,57.205,59.133,61.028,63.513,65.263
"    84","      Amusements, gambling, and recreation industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.098,16.603,17.147,17.838,18.563,19.427,20.357,21.637,22.819,23.978,25.317,27.493,29.694,31.395,33.297,35.405,37.967,41.175,44.075,46.118,47.899,49.667,51.448,53.300,55.172,56.741,59.075,61.938,64.506,66.188,67.893,69.375,70.983,72.924,74.654
"    85","    Accommodation and food services",9.566,10.218,10.284,10.363,10.598,11.058,11.290,11.689,11.811,11.812,12.221,12.484,12.947,13.247,13.456,13.709,13.898,14.128,14.427,14.949,15.701,16.464,17.426,18.633,19.623,20.357,21.567,23.868,25.881,27.488,29.336,31.567,34.559,37.843,41.020,43.036,44.841,46.607,48.347,50.057,52.068,54.004,56.367,58.937,61.278,62.661,64.030,65.151,66.611,68.258,70.073
"    86","      Accommodation",9.961,10.524,10.773,11.054,11.702,12.234,12.721,13.210,13.601,14.146,14.671,14.987,15.478,15.788,15.970,15.978,16.002,16.256,16.647,17.046,17.865,18.663,19.729,21.034,22.043,22.749,23.721,25.622,27.535,28.971,30.554,32.457,34.979,38.008,40.977,42.987,44.739,46.587,48.339,50.081,51.976,53.926,56.230,58.990,61.618,63.382,65.168,66.414,67.973,69.923,71.942
"    87","      Food services and drinking places",9.387,10.049,10.080,10.121,10.282,10.724,10.912,11.291,11.368,11.282,11.667,11.918,12.370,12.664,12.874,13.166,13.382,13.605,13.884,14.430,15.165,15.919,16.855,18.037,19.020,19.759,21.027,23.424,25.460,27.109,29.023,31.337,34.454,37.809,41.047,43.066,44.888,46.630,48.367,50.067,52.118,54.050,56.434,58.941,61.189,62.446,63.675,64.754,66.181,67.722,69.466
"    88","  Other services, except government",10.218,10.804,10.914,11.049,11.956,12.405,12.775,13.106,13.275,13.846,14.313,14.592,14.841,15.013,15.211,15.322,15.594,16.076,16.415,16.942,17.474,18.131,19.129,19.980,20.677,21.257,22.491,24.773,26.944,28.607,30.420,32.605,35.456,39.150,42.409,44.741,46.659,48.413,49.915,50.893,53.208,54.975,56.735,58.704,60.502,61.866,63.546,65.075,66.700,67.750,68.681
"    89","Government",6.922,7.155,7.385,7.500,7.846,8.026,8.198,8.440,8.827,9.202,9.596,10.004,10.170,10.375,10.615,10.828,11.148,11.509,11.857,12.348,12.807,13.553,14.343,15.495,16.742,17.899,19.046,20.778,22.686,24.186,25.783,27.542,29.803,32.910,36.308,38.880,40.662,42.578,44.285,45.276,46.722,48.595,50.815,53.200,55.791,57.979,59.584,61.180,63.100,64.567,65.928
"    90","  Federal",8.781,8.703,9.064,9.167,9.426,9.530,9.695,9.972,10.524,10.962,11.427,11.998,12.119,12.249,12.439,12.638,13.067,13.613,14.036,14.573,14.945,15.824,16.668,18.101,19.702,21.223,22.630,24.545,26.633,28.585,30.223,32.270,34.676,38.021,41.966,44.934,46.337,48.138,49.698,50.335,50.959,53.040,54.616,56.366,59.357,61.048,62.326,63.852,66.301,67.533,68.767
"    91","    General government",9.101,8.965,9.338,9.412,9.663,9.754,9.921,10.217,10.777,11.222,11.707,12.270,12.344,12.455,12.638,12.844,13.262,13.799,14.249,14.825,15.190,16.063,16.897,18.284,19.903,21.495,23.015,24.803,26.978,28.673,30.392,32.379,34.771,38.377,42.111,44.978,46.457,48.370,49.736,50.365,51.076,52.864,54.397,56.315,58.657,60.418,61.821,63.527,65.543,66.912,68.279
"    92","      National defense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    93","      Nondefense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    94","    Government enterprises",5.680,6.102,6.345,6.710,7.086,7.400,7.562,7.630,8.117,8.499,8.758,9.423,10.011,10.319,10.571,10.699,11.238,11.869,12.044,12.225,12.674,13.618,14.564,16.443,17.874,18.760,19.203,22.120,23.483,27.431,28.421,30.880,33.343,34.695,40.115,43.795,44.570,45.440,48.520,49.203,49.118,53.491,55.386,55.792,63.940,65.019,65.290,65.446,70.997,71.254,71.583
"    95","  State and local",5.486,6.091,6.199,6.334,6.813,7.142,7.364,7.596,7.808,8.152,8.507,8.767,8.999,9.301,9.609,9.853,10.090,10.303,10.604,11.082,11.649,12.320,13.107,14.085,15.113,16.050,17.050,18.687,20.501,21.749,23.324,24.924,27.105,30.082,33.177,35.530,37.557,39.560,41.370,42.586,44.546,46.310,48.925,51.699,54.074,56.554,58.343,59.980,61.644,63.222,64.641
"    96","    General government",5.289,5.896,5.990,6.132,6.611,6.932,7.141,7.372,7.569,7.921,8.275,8.522,8.746,9.040,9.358,9.620,9.868,10.093,10.412,10.925,11.530,12.242,13.070,14.084,15.119,16.089,17.114,18.692,20.425,21.577,23.064,24.618,26.763,29.590,32.528,34.693,36.633,38.638,40.496,41.824,43.945,45.735,48.414,51.266,53.613,56.168,57.933,59.609,61.313,62.852,64.295
"    97","    Government enterprises",7.021,7.532,7.783,7.816,8.241,8.618,8.949,9.173,9.509,9.746,10.082,10.446,10.734,11.085,11.285,11.361,11.503,11.609,11.760,11.951,12.199,12.518,12.950,13.600,14.536,15.159,15.913,17.989,20.474,22.610,25.023,27.030,29.482,33.842,38.402,42.542,45.344,47.293,48.681,48.956,49.583,51.123,53.196,55.303,57.917,59.735,61.722,63.026,64.358,66.261,67.486
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",16.170,17.443,16.856,17.420,19.422,19.258,19.080,19.047,19.252,20.024,20.590,20.865,21.158,21.222,21.226,21.333,21.329,21.457,21.782,22.428,22.680,23.291,24.221,25.102,25.843,26.787,29.418,34.303,37.813,39.551,41.971,45.275,50.691,57.497,63.057,64.419,64.750,66.102,65.640,63.773,65.262,67.857,70.808,72.786,72.825,73.257,74.164,75.204,77.478,78.383,78.113
"    100","    Private services-producing industries [2]",11.816,12.659,12.836,12.984,13.816,14.287,14.641,14.892,15.164,15.613,16.139,16.474,16.763,17.098,17.337,17.571,17.732,18.011,18.320,18.837,19.404,20.175,21.152,22.095,23.131,23.940,25.221,27.326,29.709,31.527,33.646,36.050,38.763,42.451,46.195,49.043,51.768,53.816,55.961,57.278,59.269,61.421,63.549,66.078,68.317,70.080,71.954,73.653,75.752,77.020,78.311
"    101","    Information-communications-technology-producing industries [3]","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
