"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    14","      Wood products",15.633,17.814,16.586,18.837,20.639,20.093,20.074,19.797,20.444,20.818,19.908,19.545,20.816,20.147,19.435,19.667,19.992,20.339,20.559,21.489,21.278,23.817,26.444,24.001,26.933,29.466,35.139,36.898,36.468,41.345,47.335,54.687,59.097,58.286,59.749,59.090,63.110,63.304,62.824,63.646,65.995,67.871,71.232,71.762,73.322,80.029,91.767,95.450,94.751,94.873,98.292
"    15","      Nonmetallic mineral products",10.997,11.969,12.615,13.012,13.873,14.080,14.598,15.033,15.518,16.291,16.928,17.304,17.576,17.678,17.561,17.558,17.456,17.513,17.587,17.738,18.087,18.958,19.731,20.617,22.001,22.450,23.590,26.690,30.501,32.842,35.484,39.148,43.182,48.169,52.255,54.878,56.080,57.785,59.064,59.835,60.090,60.895,62.057,63.129,64.225,64.517,66.048,68.549,71.405,72.361,73.324
"    16","      Primary metals",9.377,10.664,10.947,11.588,12.602,12.859,13.427,13.911,14.831,16.121,16.448,16.481,17.033,17.209,16.995,16.974,16.916,17.330,17.755,18.134,18.449,18.977,20.066,21.662,22.033,22.765,24.125,31.216,34.838,36.933,39.953,43.273,49.163,53.670,57.645,58.086,59.003,60.688,59.846,58.803,61.144,68.460,71.493,69.866,67.318,66.389,65.958,69.876,76.978,74.067,74.648
"    17","      Fabricated metal products",10.811,11.971,12.295,12.793,14.212,14.098,14.364,14.469,15.104,16.056,16.746,17.011,17.258,17.454,17.536,17.646,17.782,18.080,18.313,18.831,19.205,19.720,20.500,21.665,22.493,23.171,24.166,28.975,33.251,34.699,37.150,40.196,44.091,48.470,52.627,55.040,55.835,57.424,58.181,58.302,59.234,62.182,65.065,66.375,67.112,67.378,67.872,69.172,71.784,72.392,73.202
"    18","      Machinery",15.250,16.547,17.293,17.983,19.702,19.885,20.366,20.674,21.351,22.965,24.372,24.829,25.497,25.837,25.971,26.141,26.279,26.471,26.604,27.016,27.171,27.677,28.132,27.025,25.340,23.679,24.468,28.017,32.737,34.881,37.229,40.115,43.811,49.326,54.114,57.256,58.723,59.964,60.908,61.619,62.438,64.334,66.960,69.240,71.124,72.443,73.750,75.083,77.029,78.392,79.416
"    19","      Computer and electronic products",134.311,132.336,128.135,154.023,195.447,210.008,223.631,198.643,219.489,248.018,257.248,241.430,282.752,287.563,289.267,287.113,287.950,286.420,287.283,296.452,301.428,305.113,307.531,312.103,312.907,312.246,313.749,324.531,341.941,348.826,352.814,360.145,367.735,383.504,391.778,404.117,395.993,394.030,376.921,364.068,358.583,358.887,356.905,348.183,342.821,331.203,320.285,310.151,286.354,255.760,234.054
"    20","      Electrical equipment, appliances, and components",10.077,10.004,9.893,12.549,14.535,16.037,17.748,16.240,17.854,19.604,20.499,20.009,23.683,24.868,24.650,24.483,24.317,24.251,24.244,24.697,25.327,25.923,26.407,27.551,28.191,28.433,29.298,33.870,37.846,39.631,41.757,44.221,48.318,53.701,57.610,60.237,62.086,63.730,64.904,65.148,66.977,69.762,72.966,74.415,75.222,75.433,75.811,76.811,78.734,78.924,78.927
"    21","      Motor vehicles, bodies and trailers, and parts",17.310,18.922,20.328,20.285,21.340,22.656,22.600,22.655,23.443,24.685,25.686,26.344,27.008,26.762,26.771,26.854,26.777,26.954,27.073,27.314,27.796,28.624,29.442,30.631,31.967,33.236,33.862,37.148,42.114,44.795,47.849,51.326,55.613,61.192,69.012,73.367,75.215,76.804,78.419,80.008,81.327,82.685,84.950,86.732,89.344,91.159,92.930,94.985,96.353,97.238,96.696
"    22","      Other transportation equipment",10.987,11.890,12.296,12.720,14.133,14.167,14.448,14.607,15.169,16.355,17.208,17.513,17.886,18.037,18.066,18.078,18.037,18.166,18.365,18.699,19.146,19.670,20.519,21.799,22.572,23.300,24.390,27.153,30.704,33.108,35.623,37.845,41.496,45.979,51.295,55.730,58.463,60.617,61.361,60.942,61.460,62.771,65.080,66.641,68.060,69.541,71.407,72.872,74.222,75.259,76.509
"    23","      Furniture and related products",14.500,15.421,15.421,15.930,17.940,17.404,17.593,17.557,17.779,18.561,19.112,19.311,19.554,19.749,19.722,19.871,19.977,20.231,20.404,21.076,21.544,22.590,23.783,24.173,25.036,26.076,27.591,31.119,33.537,35.178,37.354,40.180,43.539,47.138,50.503,53.128,54.572,56.289,57.948,59.124,60.492,63.254,65.536,67.533,68.967,69.851,71.758,74.366,76.632,78.022,79.072
