year,industry,description,direction,complements,substitutes,other
2015,323,Printing and related support activities,upstream,0.007226626491476722,0.16870397105343715,0.8240694024550861
2015,325,Chemical products,downstream,0.03753870345477646,0.08501216949075235,0.8774491270544711
2015,325,Chemical products,upstream,0.10619694976007804,0.008526181447183118,0.8852768687927388
2015,326,Plastics and rubber products,downstream,0.15567151759106287,0.0645189348190202,0.7798095475899169
2015,326,Plastics and rubber products,upstream,0.08447526890556038,0.00320398284556823,0.9123207482488714
2015,327,Nonmetallic mineral products,downstream,0.08675943633038047,0.05379669629200111,0.8594438673776184
2015,327,Nonmetallic mineral products,upstream,0.04169472755456409,0.08929491113498916,0.8690103613104467
2015,331,Primary metals,downstream,0.1375719849988183,0.001070982913401,0.8613570320877807
2015,331,Primary metals,upstream,0.053873296417003315,0.054020206734184215,0.8921064968488125
2015,332,Fabricated metal products,downstream,0.09108460030301704,0.00961680423734905,0.899298595459634
2015,332,Fabricated metal products,upstream,0.055251654939739894,0.0,0.9447483450602601
2015,333,Machinery,downstream,0.08880502973590547,0.0029415403274947677,0.9082534299365999
2015,333,Machinery,upstream,0.03491784455625992,0.04512518406988936,0.9199569713738507
2015,334,Computer and electronic products,downstream,0.012408600380643942,0.0,0.987591399619356
2015,334,Computer and electronic products,upstream,0.13557456567465456,0.00035637628919757696,0.8640690580361479
2015,335,"Electrical equipment, appliances, and components",downstream,0.007332781919930863,0.0744827547397164,0.9181844633403528
2015,335,"Electrical equipment, appliances, and components",upstream,0.1438865895739553,0.0055278920401241,0.8505855183859207
2015,3361MV,"Motor vehicles, bodies and trailers, and parts",downstream,0.0010572124367582824,0.0707456849393569,0.9281971026238849
2015,3361MV,"Motor vehicles, bodies and trailers, and parts",upstream,0.1706649255901104,0.0,0.8293350744098896
2015,3364OT,Other transportation equipment,downstream,0.0,0.010307748379779035,0.989692251620221
2015,3364OT,Other transportation equipment,upstream,0.014514291763992365,0.025832603823222024,0.9596531044127856
2015,337,Furniture and related products,downstream,0.0,0.0041432013709156975,0.9958567986290843
2015,337,Furniture and related products,upstream,0.2565371354985262,0.059507718844045536,0.6839551456574283
2015,339,Miscellaneous manufacturing,downstream,0.004904434478399793,0.018819676689510848,0.9762758888320893
2015,339,Miscellaneous manufacturing,upstream,0.16087645841910056,0.0062269891442032,0.8328965524366962
2015,42,Wholesale trade,downstream,0.2059143812352007,0.03601488130205556,0.7580707374627438
2015,42,Wholesale trade,upstream,0.029827401956700483,0.0,0.9701725980432995
2015,481,Air transportation,downstream,0.015945421482773947,0.014119409313977989,0.9699351692032481
2015,481,Air transportation,upstream,0.15184467704735566,0.04201903944345714,0.8061362835091872
2015,482,Rail transportation,downstream,0.1701903199601182,0.0934052035275335,0.7364044765123483
2015,482,Rail transportation,upstream,0.11684811344648065,0.0034182268236284444,0.8797336597298909
2015,483,Water transportation,downstream,0.024181249490887045,0.008996827890790796,0.9668219226183221
2015,483,Water transportation,upstream,0.07879119744002129,0.028902267921152195,0.8923065346388265
2015,484,Truck transportation,downstream,0.061194926357402354,0.0117121325536501,0.9270929410889476
2015,484,Truck transportation,upstream,0.10275604139724788,0.07417428437334637,0.8230696742294057
2015,485,Transit and ground passenger transportation,downstream,0.06379628403460444,0.038239302566286326,0.8979644133991092
2015,485,Transit and ground passenger transportation,upstream,0.06545820292996642,0.06983058095254384,0.8647112161174898
2015,486,Pipeline transportation,downstream,0.0983856961028397,0.3494657213411998,0.5521485825559604
2015,486,Pipeline transportation,upstream,0.03023372734452369,0.0,0.9697662726554763
