industry,year_range,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
511,1964:2016,0.167916935034764,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,C,C,,,,,,S,,C,,,,,,,,,,,,C,,,,,,,,C,,,,,,
512,1964:2016,0.203436139146695,,,,,,C,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,C,,,,,,
513,1964:2016,0.101623304907036,,,,C,,,,,,,,,,,,S,,C,,C,,,,,,,,,,,,,C,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,
514,1964:2016,0.240262747562761,,,,,,,S,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,C
521CI,1964:2016,0.157772288625786,,,,,,S,C,,,,,,C,,,,S,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C
523,1964:2016,0.233554950975676,,,,,,S,,,,,,,,,,C,,,,,,,,,,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,C,,,,,,
524,1964:2016,0.159599294600491,,,,,,C,,,,,,,,,,,,,,,,,C,,,C,,,,,,S,,C,,,,,,C,,,,,C,C,,,,C,,,,,,,,,,C,,,,
525,1964:2016,0.353719083966097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,C,,,,,,C,,
532RL,1964:2016,0.23134030808586,,,,,,,,,,,,C,,,,,,,C,C,,C,,,,,,S,C,,,,,C,,,,,,,,,,C,,,,C,C,,,,,,,,,C,,,,,,
5411,1964:2016,0.185547630760903,,,,,,C,,,,,,,C,,,,,,S,C,,,,,,,,,,,,S,,,,,,C,,,,,,,,,,,,,,,,,,C,,,C,,,,,
5412OP,1964:2016,0.13624383073411,,,,,,S,,S,,,,,,,,,,,,C,,S,,,,,,,,,,,C,,,,,C,,,,,,,,,,S,,,,,,,,,,,,,,,,S
5415,1964:2016,0.247207339491184,,,,,,,,,,,,C,,,,,,,,S,,,,,,,,,,,C,,,,,,,C,,C,,,,,,,,C,,,,,,,,,C,,,,,,,
55,1964:2016,0.213503379722376,,,C,,,C,,,,,,,,,C,,,,C,C,,,,,,,,,C,,,,,,,,,,,C,,,,,,S,,,,,,,,,,,S,,,,,,,
561,1964:2016,0.172464695056287,,,,,,C,,,,,,,,,S,,,,,,,S,,,,,C,,,C,,,,C,,,,,,,,,,,,,,S,,C,,,,,,C,,,,,,,,
562,1964:2016,0.143648934290356,,,,,,,,,,,,,,,,,,,S,,,,,,,,C,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1964:2016,0.117059867905818,,,,,,,,,,S,,,,,C,,C,,,,,,,,,,,,,,,,C,,,C,,,,C,,,,,,,,,C,,,,,,,S,,,,,,,,C
621,1964:2016,0.134383951107673,,,,,,C,S,,,,,C,,,S,S,,,C,,,C,,,,,S,,,S,,,,C,,,,C,,,,,,,,,,S,,S,,,,,,,,,,,,,,
624,1964:2016,0.176026665878389,,,,,,C,,,,,,,,,,,,,,,,S,,,,S,S,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,C,,,,,C
711AS,1964:2016,0.224443560354664,,,,,,,C,,,C,,,S,,,,S,,,,,,,,,,C,,,,,,,,,,,,,,,C,,C,,,,C,,,,,,,,,,,,S,,,,
713,1964:2016,0.170280653620735,,,,,,,,,C,,,,,,,C,,,S,,,,,,,S,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,C,,,,C,,,,,S
721,1964:2016,0.174672673405528,,,,,,,,S,,,,,,,,,C,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
81,1964:2016,0.103844828498457,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,C,,,,,,,,,,,,,,S,,,,,,,,,,S
GFE,1964:2016,0.178961387991276,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,S,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSLE,1964:2016,0.112381739794435,,,,,,C,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,C,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,
GSLG,1964:2016,0.0747317185853713,,,,S,,C,,,,,,,,,,,,S,C,,,,,,,,C,,,,,,C,,,,,,,,,,,,C,,,,,,S,S,,,,,S,,,,,,,C
