industry,year,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
493,1964:2016,0.19740267693263563,,,,,,,C,,,,,S,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,C,,,,,,
511,1964:2016,0.15783169610845538,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,C,C,,,,,,S,,C,,C,,,,,,,,,,C,,,,,,,,C,,,,,,
512,1964:2016,0.1977906657849251,,,,,,C,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,C,,,,,,
513,1964:2016,0.1027524485690931,,,,C,,,,,,,,,,,,S,,C,,C,,,,,S,,,,,,,C,C,,S,,,C,,C,C,,,C,,,,,,,,,,,,,,,,,,,,
514,1964:2016,0.24047076096676673,,,,,,,S,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,C
521CI,1964:2016,0.15714989968443716,,,,,,S,C,,,,,,C,,,,S,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C
523,1964:2016,0.25394536816557634,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,
524,1964:2016,0.1641572809157084,,,,,,C,,,,,,,,,,,,,,,,,C,,,C,,,,,,S,,C,,,,,,C,,,,,C,C,,,,C,,,,,,,,,,C,,,,
525,1964:2016,0.34963253761900404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,
532RL,1964:2016,0.2308830577517304,,,,,,,,,,,,C,,,,,,,C,,,C,,,,,,,,,,,,C,,,,,,,,,,C,,,,C,,,,,,,,,,C,,,,,,
5411,1964:2016,0.19307485080801162,,,,,,C,,,,,,,C,,,,,,S,,,,,,,,,,,,,S,,,,,,C,,,,,,,,,,,,,,,,,,C,,,C,,,,,
5412OP,1964:2016,0.1444340827845897,,,,,,,,S,,,,,,,,,,,,C,,S,,,,,,,,,,,C,,,,,C,,,,,,,,,,S,,,,,,,,,,,,,,,,S
5415,1964:2016,0.22799889268150017,,,,,,,,,,,,C,,,,,,,,S,,,,,,,,,,,C,,,,,,,C,,C,,,,,,,,C,,,,,,,,,C,,,,,,,
55,1964:2016,0.2004180877034951,,,C,,,C,,,,,,,,,C,,,,C,C,,,,,,,,,C,,,,,,,,,,,C,,,,,,S,,,,,,,,,,,S,,,,,,,
561,1964:2016,0.17818903755736312,,,,,,C,,,,,,,,,S,,,,,,,S,,,,,C,,,C,,,,C,,,,,,,,,,,,,,S,,C,,,,,,C,,,,,,,,
562,1964:2016,0.12381322551672383,,,,,,,,,,,,,,,,,,,S,,,,,,,,C,,,,C,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1964:2016,0.11575001622551473,,,,,,,,,,S,,,,,C,,C,,,,,,S,,,,C,,,,,,C,,,C,,,,C,,,,,,,,,C,,,,,,,S,,,,,,,,C
621,1964:2016,0.1397918236462916,,,,,,C,S,,,,,C,,,S,S,,,C,,,C,,,,,S,,,S,,,,C,,,,C,,,,,,,,,,S,,S,,,,,,,,,,,,,,
624,1964:2016,0.18034744732697536,,,,,,C,,,,,,,,,,,,,,,,S,,,,S,S,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,C,,,,,C
711AS,1964:2016,0.20774739101777243,,,,,,,C,,,C,,,S,,,,S,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,
713,1964:2016,0.16446434817314215,,,,,,,,,C,,,,,,,C,,,S,,,,,,,S,C,,,,,,,C,,,,,,,,,,C,,,,C,,,,,,,C,,,,C,,,,,S
721,1964:2016,0.18710073825548823,,,,,,,,S,,,,,,,,,C,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
81,1964:2016,0.10140347409628178,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,C,,,,C,,,,,,C,,,,,,,,S,,,,,,,,,,S
GFE,1964:2016,0.20660763752000566,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,S,C,,C,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,
GSLE,1964:2016,0.11184501258297572,,,,,,C,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,C,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,
GSLG,1964:2016,0.0741154715666574,,,,S,,C,,,,,,,,,,,,S,,,,,,,,,C,,,,,,C,,,,,,,,,,,,C,,,,,,S,S,,,,,,,,,,,,C
