industry,year,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
111CA,1964:2016,0.14611289672022262,-0.009448127905370423,0.0,0.0,-0.11631171518359418,0,-0.013680215065295882,0.0,-0.006291285292055812,0.004164250457988066,-0.010900335108262924,-0.0034192475865329557,-0.012293566962307935,-0.01872823721986281,0,-0.008668227298227374,0.0,0.0,0.0,0.0014773164939017322,0.0,0.0,0.0,0.004675425589084626,0.0,0.0,0.0,0.0,-0.01144445459969443,0.004297729193894572,-9.753423157185989e-05,0.0,0.0,0.5273725084741326,0.0,-2.02183809755075e-05,-0.003397569869438448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020283155429821752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.002449674203115351,0.0,0.004442700804358694,0.0,0.0,0,0.0,0.0,-0.012715130774683545
113FF,1964:2016,0.14989620993720834,-0.018619370750020937,-0.012675995955336418,0.0,0.0,0,0.00015226060448728535,0.0,-0.0005694384859428149,0.014138115266531843,0.0,0.009728874631934038,0.08009362181994172,0.0,0,0.08109777978709921,0.07510272435405677,0.0,0.0,0.011193079047950145,-0.0008067667349431312,0.03570769365657778,0.0,0.060211372093984444,0.012635555472309237,0.0,0.02558266335141706,0.2743354633669643,0.011481524076380208,-0.029402332339326254,0.0008098602008361084,-0.005318978295674151,0.0,0.0,0.019916199459546834,0.0,0.0,0.0,0.08143365383991019,0.0,0.0,0.0,0.0,0.0,0.04655987044113659,0.008111130867608533,-0.007535478260317539,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0001576416851843105,0.0,0.0,0.0,0.022935472357158482,-0.0036659732680110377,-0.001459176909195352,0,0.0,0.0,0.046362367736774074
211,1964:2016,0.2239744890923967,0.0,0.0,0.06738405239797826,0.0,0,0.20621343097771727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.10889407871838878,0.0,0.0,0.0,0.0,0.10429474334253581,0.0,0.0,0.0,0.0,0.0,0.008359952294583776,0.028755418408442954,0.0,0.07176417462966023,0.02825425488545615,0.020368378196434205,0.0,-0.00018238347040582027,0.0,0.0,0.0,0.0,0.185462924729763,0.0,0.07479750406738726,0.0,0.04320076667615193,0.0,0.0026922975392902598,-0.0020019831346575496,0.0,0.0,0.0672070077405526,0.00016585245256510258,0.0,0.0,0.0,0,0.0,0.0,-0.0018590471424937793,0.0386135953602832,0.021929276241115996,0.0,0.0,0,0.0,0.0,-0.01591822864462483
212,1964:2016,0.1302944002728853,0.0,0.0,0.0,0.0,0,0.030443646666926765,0.04946593977342364,0.0,0.00010733218754039093,0.0,-5.247248378814076e-05,0.00045741226406119,0.0,0,0.02765996016696837,0.03278493410085931,-0.0042321392381353086,-0.006737488612734895,0.043536185788420535,0.007702646380905653,-0.012509611928287676,0.000513933346147451,0.004314759501774387,0.0,0.0,0.030737040513848294,0.3019265459041318,0.0076499760774600585,-0.0055110843102047355,0.015830915509744196,0.007158828612703544,0.09451518707584203,0.22123925472010242,0.0,0.026342178083855104,0.0,0.0,0.012230319118472785,0.0,0.030115783147143027,0.017441529494065505,0.0,0.0,0.021304134081425445,-0.026613094384583955,0.01603817209028281,0.0,-0.006531537750660026,0.0,0.0,0.0,0.0,0,0.0,0.0,0.01013493928131205,0.0,-0.0017670264880581682,-0.004095507267340007,0.0,0,0.0,0.0,0.015437466037624022
213,1964:2016,0.16977297486409035,0.0,0.0,0.0,0.031223192018755966,0,0.00800946726130819,0.0,0.0,0.0,0.0,-0.026881698603274058,0.0,0.0,0,-0.016717601668645898,0.0,0.007628980240198822,0.07180463478002884,0.0,0.14101808006576017,0.0,0.0,0.0,0.0,0.0,0.0,0.341739204286585,0.00033579830805101005,0.052442668954003194,-0.0032233964162984045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01977300224509681,0.0,0.0,0.0,0.0,0.0,-0.008897934163756232,0.0,0.0,0.0,0.017659828210106268,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.051331620642333826,0.0,0.0,0,0.0,0.0,-0.01896854088856624
22,1964:2016,0.15597000506883066,0.0,0.0,0.0064519604002188785,-0.005402056070474478,0,0.05978705371599391,0.0,0.0,0.0,0.0,0.0,-0.02256738445068377,0.0008076895955461184,0,-0.0007388926199658426,0.0,-0.03037943845252376,0.0001740645178977181,-0.0025972342666457683,0.07389721437936808,-0.0004471142721526764,-0.0011877375928794637,0.01603418079571487,0.0,0.0,0.0,0.4015879167604146,0.004320319851531702,0.04440204512193058,0.005941548852494399,0.0022672698137717008,-0.01752181161549027,-0.10867105233925502,0.0006200058124453774,-0.008272576158470159,-0.017353697987568327,0.0,0.0,0.0,0.006302823375792526,0.001387720025772423,0.01091497033261336,0.0,0.02770158987306902,-0.019380943647404603,-0.00363424741473403,0.0,0.00796651846952568,0.0,-0.016233146738480125,0.0,0.0,0,-0.032625363777260975,0.0,-0.01483003880272354,-0.0010068186335434205,0.0,0.023969862584816926,0.019091746125083704,0,0.0,0.0,0.12432760330195207
23,1964:2016,0.08621262073546729,0.0,0.0,0.0,0.0014401868457707885,0,0.0012521947738272036,0.0,0.0,-0.05163466525832993,0.0,0.028483156232812286,-0.0016211148570565615,-0.01797947051568269,0,0.0,0.0,0.0,-0.0006066537820375884,-0.0034028335529215203,0.009512546678743752,-0.004833008908578174,-0.011670409149713647,0.0029013984377297885,0.0,0.0,-0.018355815321611606,0.0,0.0,0.0,0.011325562566653638,0.0,0.00293278370507702,0.26940462768985995,0.0,0.0,0.0,0.0,0.00343586726965408,0.0,0.07379006052482452,0.0,0.0,0.0,0.0,0.0,0.007561127322291896,0.0,0.0,0.0,0.0034281809169512535,0.0,0.0,0,0.0,0.008209330632406125,0.0,0.004875445350734897,0.0,0.0,0.0,0,0.0,0.0,-0.00209649751696112
311FT,1964:2016,0.14071244514095302,0.003281950659847637,0.12272791610398581,0.0,0.0,0,-0.0017631075416619966,-0.00266029419402731,0.0,0.0022515695862370924,0.0,0.028901133555666092,0.0019187944608306453,0.04517701955520594,0,0.018822952161007878,0.00112855036603919,-0.04466359888738637,0.0,0.04995709382065012,-0.0008395454715684529,-0.01937418298719965,0.02001549385022372,-0.024692039620721237,0.0,0.0,-0.003242257649576233,-0.011541783152257696,-0.008417436998438646,0.0,-0.0013048117432524176,-0.00848911812200266,0.08731334317660981,0.23172557684150422,0.0,-0.002260196920298883,0.0,0.0,-0.006576653923923614,0.0,0.07528218389615181,-0.008850255315255256,0.0013489605884206782,0.0,0.008478849612142706,-0.012102804079280991,0.011152722771654574,0.0,0.0013667156001156814,0.04595731290655709,-0.00016557937698666325,0.0,0.0,0,0.0,0.0,0.005513469060689077,-0.0012834355302525863,0.12678227165916187,0.0,0.01271626115586963,0,0.0,0.0,0.029513458643378315
313TT,1964:2016,0.1588037721370208,-0.001899275583177131,0.0,0.0,0.07249271294852189,0,0.03417776458437356,-0.024374627891708828,0.0,0.0,0.0,0.0035098699928678544,0.0,0.0,0,0.03416508483295897,0.10357765423142398,0.0,-0.007280031202268277,0.0029712963293041044,0.01573356985203012,0.0,0.0,0.0,0.0,0.0,-0.005291890673238228,0.0,-0.02491155520452364,0.0,0.001581084421452354,0.0,0.0016825130352607143,0.0,0.0,-0.05133349606999075,0.0,0.0,0.00844871793869394,0.0,0.10310254124629553,-0.04679152639624896,0.0,0.0,0.0,0.0,0.0,0.0,-0.056679648490479365,0.004644046550220494,-0.0211414508690122,0.0,0.0,0,0.0,0.0,0.016547593595755045,0.03878719914426428,0.12869655964601096,0.034220209943627886,0.0,0,0.0,0.0,-0.0034259613013375404
315AL,1964:2016,0.18773882176545176,0.0,-0.015912940691971134,0.0,0.052784176020802966,0,0.1873691908623265,-0.007977590125003554,-0.07324161409185484,0.005601603209095843,0.0,0.07809623120546477,0.06093044198071797,0.0,0,0.007492520884353652,0.0,0.0,0.0,0.03352569736439179,0.0,0.0,0.0,0.08997890916210495,0.0,0.0,0.08149238862940092,0.0,-0.09750683883013316,0.027248488182867816,0.0,-0.0005623038091203747,0.012513151177420067,0.0,0.0,0.0,0.0,0.0,0.014953138525871674,0.0,0.056494257366495444,-0.01339604793226018,0.0,0.0,0.0009742932714420748,-0.0004562973234448498,0.0,0.0,-0.006981425600998712,-0.006297966358947202,0.04145987173415958,0.0,0.0,0,-0.02810234084253398,0.0,0.0,0.0,0.009253412513568055,0.0,0.07211795376352462,0,0.0,0.0,-0.00623557569956348
321,1964:2016,0.09345188976889361,0.0,0.04369615109392961,0.0,0.0,0,0.05493285259172928,-0.0034045229130740626,0.0,-0.023842712746284127,0.0,0.00264337588084769,-0.10136069458534278,-0.008696455946739982,0,0.0049817978459246025,0.017427538719651928,0.002324838629540275,0.0010946008684408614,0.0,0.0,0.0,-0.0032088883659418897,-0.011337700472697953,0.0,0.006839109036852333,0.014112811097327404,0.005514676872286861,-0.06853491104127865,0.023258917235950537,0.0,-0.05011351699877648,0.1398236258840399,0.0,0.0,0.0,0.055632528958513464,0.0,0.0,0.0,0.06344711296766055,0.0,0.026336414781630853,0.0,0.06763245135111676,0.0,0.0,0.0,-0.0010600996738914994,0.03802129849622962,-0.007269524256972707,0.0,0.0,0,-0.0009627557650410752,0.0,0.0028752009658252493,0.002045766227115873,0.01236988132086275,0.0,0.03775400921230403,0,0.0,0.0,0.002010555609184153
322,1964:2016,0.13363319488208528,0.0,-0.01227344453284239,0.0,-0.003120216768555242,0,0.1693630222130011,-0.006657730855418547,0.0015719678522639685,0.018355828874251426,0.0,0.08245560654957372,0.019140355288982395,0.0,0,0.006016381447334097,-0.00016592607340391947,-0.0005383633405846709,0.04070015708448121,-0.009101043577512466,0.0023794997087363745,0.0,-0.07139848654761036,0.0,0.0,0.0,0.005564133169938605,0.0020306778405856226,0.0,0.07886519121655107,0.0,-0.007774118719647778,0.03566471566087925,0.3943020952380857,-0.01804530874054829,0.0,0.03640608997737391,0.0,-0.0019099595303314304,0.0,0.008121333004932058,-0.05747457580615628,-0.004766453057527542,0.0,0.0,-0.07141044442183697,-0.0033325445901484516,0.0,-0.004125838728444609,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0028782991431147813,0.019963855199869814,0.0,0.0,0.05990690296321974,0,0.0,0.0013290078619419181,0.004431879257454592
323,1964:2016,0.1700687620509523,0.0,0.0,0.0,0.0,0,-0.042366835461482746,-0.0063765247887615705,0.0,-0.15287016517149785,-0.000464698173341708,0.0,0.0023726593045627375,-0.01664253371468497,0,0.0,0.0,0.0,0.10593242167887106,0.017285468216934895,-0.03560107388445156,-0.024242199940514242,0.0,0.0,0.0,0.0,-0.010025109741752507,-0.007016178641923413,-0.006941351533880063,0.09666634392734973,0.0,0.0,0.004345202405528246,0.0,0.0026286049193925995,0.0,0.03194889667279581,0.0,-2.5612331623405333e-05,0.0,0.001391068775189948,0.0,-0.017108874589339643,0.0,0.0,0.008670652074511774,0.03824104569279231,0.0,-0.15052770908365695,-0.05819414198668295,-0.021494394244112043,0.0,0.0,0,0.0010259601190618802,0.0,0.0,0.0,0.0,0.06123914003237341,0.0,0,0.0,0.0,-0.159610208014355
325,1964:2016,0.19039731189225906,-0.03280110195346548,0.10680287122321885,0.0,0.0,0,0.08873213798953938,0.0,-0.006264572229860058,-0.07180203419869843,0.0,0.0,0.0,0.0,0,0.42658533356510686,0.0,0.003814238869496601,0.0,0.023910047722415687,0.03099957526539247,0.0,0.0,0.0031466401304324834,0.0,0.0,0.0,0.12007271895412677,0.0,0.0,0.0,0.019911688950536483,0.0,0.0,-0.0028499130884446712,0.0,0.0,0.0,0.0,0.0,-0.001528088458522952,0.0,-0.06401153971605442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0023422214240510003,-0.06445544253512207,-0.0038380590499256535,-0.008124020506893348,-0.3736770431515319,0.0,0.0034808900325276736,0,-0.010690076521079464,0.022970939248935136,-0.007429233334992267
