industry,year_range,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
321,1964:2016,0.0895125453813608,0,0.0439058585235705,0,0,0,0.0551462202117994,-0.00484066176738131,0,-0.0270558787905927,0,0.00418694408366049,-0.101360694585343,-0.00883619158583527,0,0.00611230951830813,0.0174275387196519,0.00417465344071394,0.00153671618028463,0,0,0,-0.00362148617996885,-0.0150585353239629,0,0.012472929980825,0.0141128110973275,0.0055146768722869,-0.0692874927292852,0.0240215497318976,0,-0.0516104403529232,0.139823626642583,0,0,0,0.0556325249761613,0,0,0,0.0634471388929839,0,0.0263364336609302,0,0.0676324485592561,0,0,0,-0.000170336943541165,0.0392768689477606,-0.00726952425697267,0,0,0,-0.000608213650425057,0,0.0042373393725486,0.00328756435626778,0.0123698813208628,0,0.0395392513922437,0,0,0,0.00201055560918408
322,1964:2016,0.130144101698867,0,-0.00541625475317105,0,0,0,0.162807979684205,-0.00652365689903364,0.00231338024341681,0.000701263251954606,0,0.0824556340931228,0.00622564762392465,0,0,0.0113575782593154,0,0,0.0427732569464731,0,0,0,-0.0610353781239075,0,0,0,0.00603392519629918,0,0,0.0788359993571475,0,0,0.0323637682613727,0.371091418878525,-0.0195886337246253,0,0.0355279866049732,0,0,0,0.00143028249567989,-0.0591398542451913,-0.0031830364526397,0,0,-0.0686556203280285,-0.00235122320878561,0,0,0,0,0,0,0,0,0,0,0.016290681276521,0,0,0.0599068454403548,0,0,0,0
323,1964:2016,0.18211282298846,0,0,0,0,0,-0.0583410610642909,-0.0183976367453105,0,-0.174496007998942,-0.00645712766442364,0,-0.00700181513620183,-0.0151608531696226,0,0.000189110299580719,0.0123321798322427,0,0.125743662542348,0.031856190430093,-0.0369368963516676,-0.0307566022070555,0,0,0,0,-0.0320814118058973,-0.00701618949752051,-0.00281561702085292,0.0966663266704902,0.00408363962604986,0.000315544292398023,0.0043452132611254,0,0.00601135817992737,-0.00207673599817094,0.0335433393447108,0,-0.0135244160755727,0,0.00377776976084813,0,-0.0171088853437976,0,0.0223048215403275,0.0105724596329943,0.0335223440131451,0,-0.162192956093547,-0.0601729410805854,-0.0458647199143652,0,0,0,0.00735755841251949,0,0,0,0,0.0612386694321265,0,0,0,0,-0.163688255912241
325,1964:2016,0.166662535461414,-0.0328010639925888,0.11227171630409,0.000981780906877861,0,0,0.108597363770952,0.00768447404398634,-0.00671303879081938,-0.0838074428261135,0,0.000701979544367725,-0.00295324717981244,-9.97676568873204e-05,0,0.436769261265098,0,-0.00289140749571009,-0.0111111525058477,0.0265046397215641,0.0366063586592134,0,-0.000543859513366871,0.010899516808636,0,0,0.00964862458846143,0.14634663217208,0,0,-0.000402459461764564,0.0199116835227379,0,0.00272580696379432,-0.00690136885278908,0.00876506606782719,0,0,-0.00101398086655733,0,-0.0141581292875213,0,-0.0640115074484664,0,0.00419593538364137,0,0,0,0,0.000382628527836508,0,0,0,0,-0.00511088360488689,-0.0743463819433526,-0.022316603209166,-0.0166050456969987,-0.389035113897529,-0.000351609839168611,0.00348088354276852,0,-0.0169772228807616,0.0325761374204137,-0.0153745395970021
326,1964:2016,0.159149538917047,0,0,0,0,0,0.0312890810660209,0.0154791889518365,-0.00739173039085994,0,0,0.00719462566043997,0.116221782983159,0,0,-0.0111993856862929,0.00507134099267591,0.413398265887086,0.0850835581082531,0,0,0,0,0,0,0,0,0.0291747947453155,-0.0127967198872391,0.0770918656966535,0.00332739728827418,0,0.137139578893511,0,0.0341558655327802,0,0.0043500423835953,0,0,0,0.0213924345994427,0,0,0,0,-0.005654044078486,0.00666600155193206,0,0,0.00959874689579009,-0.0392670315011864,0,0,0,0,0,-0.00747628655807194,0.00842360300496559,0.0772689683573548,0,0,0,0,0,0
327,1964:2016,0.113961307076587,0,0,0,0.00425944379551919,0,0.0115744613144732,-0.00287327831147487,-0.0113649319065103,-0.00680531952445866,0,0.0324630105522423,-0.0242703346645131,0,0,0,0.0104658139102599,0,0.0833565851007652,0,0,0,0,0,0,0,-0.0235960897547088,0.00681523098799977,0,0,-0.0008369920884862,0.0027211602119838,0.0251722400881586,0.136621269945274,0,0,0.0075184225833793,0,0,0,0.0310941781191265,-0.00269279881839842,0,0,0,0.0890624066688356,-0.0272270568153437,0,-0.23651744816368,0,0,0,0,0,0.00296121754797332,0,-0.022101136624004,0.130637077724232,0.0123559738513571,0,0.0592037281063617,0,0,0,-0.00112434675520899
331,1964:2016,0.103507193120342,0,0,0,-0.00111557662116189,0,0,-0.000183684287837188,0,0,0,-0.0155478298466029,-0.0275894267778481,0,0,0.140580690396334,0.0118086588952471,-0.00279618432214359,0.0602482419747573,0.0140558431152575,-0.00334636788663552,0,-0.019335539876673,-0.000427639895704532,0,0,0.0136183920017195,0.00339087608746543,0,-0.100459476121663,0.0195393159909688,0.0339921853848526,0.0300290325226692,0.427986005702524,-0.00582666714502946,0,-0.00440761278387647,0,0,0,0.000161196513952721,0.00402531000823458,0.0262075707451251,0,-0.00442121561397524,0.00426899867629575,-0.0367221357595867,0,-0.00956016671485627,-0.00106063373892554,0.000444416850131014,0,0,0,-0.000443739218140069,0,0,0.010392316823564,0.0558270439168447,0.00456750308631233,0.0224950757905908,0,0,-0.00154205521239954,0.000539862116739759
332,1964:2016,0.10108968457212,0,0,0,0,0,0.0403572014992323,0,0,0,0,0.0624985882329725,0.00255889421944166,0,0,0.0156831328601185,0.0197573126677205,-0.0304957159280743,0,0.00828172338966334,0.0151464456599627,-0.0175410778813772,-0.00711963426878011,0,0,0,0,0.0231738344290003,0.0313594005818898,-0.00707719694165626,-0.0295945884853736,0.00367898165303118,0.121820581621781,0.27332321527452,-0.000303862574278497,-0.000816119362798232,0.0191882020916065,0,0,0,0.0477529605555588,0,0.0214234436124698,0,0,0,0,0,-0.00185701338683857,0.0641589392802564,0,0,0,0,0,0,0,-0.00659606100072689,0,0.0373140330075042,0,0,0,0,0
333,1964:2016,0.11742240922045,0,0,0,0,0,0.0510291158647289,0,0,0,0,0.00108923636191436,0.00393255029033819,-0.00935646809629118,0,0.0616700666665829,0.00868494857557759,0,0,0,0,-0.0237438981010414,0.00200773288002786,-0.0475013438608009,0,0,0,0,0,0.00809767988207013,0.00827574746354539,0,-0.019333687113657,0.428191696007091,0.0140435548322233,0,0,0,-0.0131581778052301,0,0.0139447666846355,0,0,0,0,0.0380526315441937,0,0,0,0,0,0,0,0,0,-0.0369975714189974,0,0.00548693267928807,0.00230986050781015,0,0,0,0,0.000946178206356405,0
334,1964:2016,0.119177379581987,0,0,0,0,0,0,0,0,0,0,0,0.0289930704121406,0,0,0.00693585753980265,0.032256682837441,0,0.0276474177466528,0.035120161359801,0.0145949448092221,0.00163598319018318,0,-0.00348923889271138,0,-0.00398165044876244,0,0.000622628859299061,0,0.0918088481673018,-0.0454911473733942,0.0292535337463561,0,0.359073632681211,0,0,0.0188853270563874,0,0,0,0.110157377343642,-0.00209509758320867,0.064818372958386,0,0.00174624522372541,0.0413500947110793,-0.0293239801026443,0,0.00136983439081868,0.0157942392808549,-0.0234946279504181,0,0,0,0,0,-0.00103389003158154,0,0.0665008177247522,0,-0.00475417142438942,0,0,0,-0.0369949101963464
335,1964:2016,0.140169420736916,0,-0.00603274829112565,0,-0.037315976292388,0,0,0,0,0,0,0.0464386405313716,0.084546758713226,0.011959166750649,0,0.0954136538964051,0.0494755569811725,0,0,0,0.0038115923035873,0.00956230555825376,0,-0.0634737232556709,0,0,0,0.0282675452631523,-0.00528215211542215,0.0404569211856323,0.195622411956884,0,0,0.0415387038432264,0,0,0,0,0,0,0.0685031893768461,0.00442445947371456,0.0441151249698654,0,0,0.0221564640033973,0.00175867716853433,0,0.0107135270296583,0,0,0,0,0,0.0276309283011976,0,0,0,0.0220530544201173,0.0155224877481277,0,0,-0.0263713767701482,0,-0.00949448029346327
3361MV,1964:2016,0.11205066677318,0,0,0,-0.000170728066363012,0,0.00636107948128286,0,0,0,-0.00339928012640464,0.0327630726618185,-0.0031282943841997,0.0129203119039182,0,0.0205532309316874,0.0394815588485854,0.0416374339920161,0.0421204917360418,-0.00221250571913141,0,0,-0.000214457659923147,0.0086819307733226,0,0,0.0118203722551566,0,0,0,0,0.00896415103446035,0,0.196229108178364,0,0.0863191896440605,-0.00168004170127584,0,0.00489905907991616,0,0.0042449467693249,-0.00149430449929813,0.09044553381728,0,0,0,0.0700606000314707,0,0.000207115799121186,0.00114708056892542,0.033945379607017,0,0,0,0.00487275415614281,0,0,0,0,0,0.0156167844811884,0,0,0,-0.010456184592157
3364OT,1964:2016,0.160787360973309,0,0,0,0.0411378580621734,0,0.289844932717301,0,0,-0.00105942325556976,0,0,0.000494857348198277,0,0,0,-0.000792395163377995,0.0327649713447528,0,0,0,0.0224015258202051,0,0,0.00495811755773166,0.00452524236491904,0.00103826930417737,-0.00602058764563967,0,0.00333488383646468,0.00463191193962532,0.0211600559464407,0.0622753606460213,0.174501166034203,0,0,0,0,0,0,0.109627301945895,-0.00412713635156595,0.0113316481907713,0,0.0330183776474781,0.0577930656190102,-0.036346539074731,0,0.00223824820097755,0.0195539543801303,0.0227609949346581,0,0,0,0.013521064190843,0,0.0012685605388017,0.0119040080122818,0.037723122358457,0,-0.00916223983149723,0,0,0,0.0218486269404985
337,1964:2016,0.13598052326365,0,0.0182801742492269,0,0.0410380023889817,0,-0.0140137496811013,0,0,-0.0284623319601294,0,0.120099918002355,0.000855844756546197,0,0,0.000349353172930115,0,0.000541421386720905,-0.000203852130867101,0.0390392128363403,0.00937707331431904,0,-0.00238281722618815,-0.00767825348160495,0,0,0.00840685306942908,0.0296278460861534,-0.00799884394283208,-0.0124084863746412,0.0988491590785882,5.38089222009237e-05,0.134185184250539,0,0,0,0.000378399777618062,0,0,0,0.000439043018789922,0,0.022342578836662,0,0.00759117452351889,-0.0228065902544228,-0.0354057924697656,0,-0.0246577832101933,0.238413017212068,0.0452562870876021,0,0,0,0,0,0.0320658960876927,0.00116859715457213,0.0651006580381001,0,0,0,0,0,-0.0872627770363847
339,1964:2016,0.147077924307069,0,0,0,-0.0455634703673212,0,0,0,-0.0227668619929598,0,0,0.0154825796655535,0.0278910810793687,0,0,0,0,0.0881298743651935,0,-0.00967062352334751,0,0,-0.0151164672965378,-0.0471919723933909,0,-0.00575322841559601,0,0.0804697562849815,-0.00410715815910389,0,0.0434790045461233,0,0.131869368322564,0,0,0,0,0,-0.00917087464985263,0,0.0183113998484827,-0.00675222141103504,0.0563155486589778,0,0.01238727690947,0.141391721865419,0,0,0,0.00890823440179562,0,0,0,0,0.019829187896187,0,0,0,0.0822716886472648,0.0505953227945211,0,0,0,0,-0.0231215483572216
42,1964:2016,0.134282938943584,-0.012969070851668,0,0,0,0,0.0324079032715545,0.0198873508156897,-0.0229696140359093,0,0.00347641884134365,0.00476012096584382,-0.0327351686346652,0.00879741844834919,0,-0.0161001665709431,0,0,0,0.0015250968818481,0,0,0.017222332906155,0.00676254847200748,-0.000521754715338831,0,0.00307583475561298,0.017405121136305,0.00346737535147847,0,0.00013124997563221,-0.000528292730450639,0.00848270514432121,0.612412348497086,0.0136135198529894,-0.00551240335374532,0,0,0.171323680984725,0,0.00162300626363823,0.00603684930897811,0,0,0,0.0123290032911119,0.0107258486369734,0,0,0,0.0427661838465079,0,0,0,0,0.0590529261932317,0,0,0,0.00137590632112317,0.000208346046743349,0,0.000568144571255233,0,0.0215094588039552
481,1964:2016,0.0688215411524748,0,0,0,0,0,0.0330514246187009,0.00401634126227366,-0.000156963362076155,0,0,0,-0.00979342075629474,0,0,0,-0.00434144858557444,0,0,0.00174260946049677,-0.000650026688006677,-0.000552513438584607,-0.00153745678822379,0,-0.0627233865101952,0,0,0.0823687201426933,-0.00181389804002387,0.0725307639528116,0.00365813182692183,0.00348865987556011,0,0.384678546162148,0.0133785662574196,0.00471724383532999,0.0259627686998895,0,0,0,0.0101139340128295,0,-0.00808628034942292,0,0.0274119270265911,-0.000887336200988148,-0.00476609468797215,0,-0.00269051438947607,-0.0286302083936769,0,0,0,0,0,0,-0.00776138347131097,-0.0197467555068602,0.00226641861022328,0,0,0,0.00699799512070499,0,0.00436418000355832
482,1964:2016,0.100901768880972,0,0,0,-0.00326326502933765,0,-0.0522842034360402,-0.00217674342215871,0,0,0,0.000232126782922176,0.024134901718856,0,0,-0.0084627228220124,0.00655028938707723,0,0,0,0,0.00650892470756807,-0.00457101885010214,0.0319585699368925,-0.0100448938482757,0,-0.00106368642047526,0.236356708360204,0,-0.00335819594460913,0.138542683550675,0.044375259614638,-0.00153475217689755,0.21168599029944,-0.000728904256993298,0,0.00779476215666775,0,-0.00420487810313974,0,0.0149649612403293,-0.00059554702286268,0,0,-0.0225972031913192,0.000803492491331565,-0.000595905122713807,0,0,0.0142866943823806,-0.00460512049462463,0,0,0,0,0,0.00540266573698808,0.00312094855632177,-0.0187512585783706,0,0,0,0.00223302854671733,0,0.0217158780580732
483,1964:2016,0.209839168444222,0,0,0,0,0,0,0,0,-0.00531080203358408,0,0,0,0,0,0,0,0,0,0,0.000669949633233689,0,0,0,0.0105662471635848,0,0,0.200255002421896,0,0.189287050878439,0.0802943487377728,0.00918683524315169,0,0.337799266435847,0.00567955068603358,0,0,0,0.0120595153505445,0,-0.0139777798930444,0,-0.00400108334975008,0,-7.94268638839956e-05,0,0,0,-0.215437488453421,0.00212798422682873,0,0,0,0,0,0,0,0,-0.0686912871138677,0,0,0,0.000749566975761813,0,-0.0390328218090049
484,1964:2016,0.103216944540397,0,0,0,0,0,0,-0.037038224357353,0,0,0,0,-0.0186367802178631,0,0,-0.0141464342358964,0.0351100188692636,-0.00444901968896119,0,-0.00738279534107688,0,0,0,-0.0409106736606601,0,0,0.0144099862192551,0.0431124403381644,0.00134702114497913,0,0.0441306277907272,0.0146448447862092,0,0.368513940745012,-0.00275640213246798,0,0,0,0,0,0.0015490606629471,0,0,0,0,-0.00413291240574546,0,0,-0.0494143200692682,0,0,0,0,0,0.00137597437088307,0,0,0,-0.0157849632911552,-0.00251360229170159,0,0,0,0,0
485,1964:2016,0.102864975455376,0,0,0,0,0,-0.00237134577415682,0,0,0,0,0,0.00593005516777042,0.00599440048570951,0,0.0228250324336298,-0.00991297956256879,0,0,-8.58925308239954e-05,-0.00661212652900606,0,0.0193186771015034,-0.000801586052950689,-0.00669771973444023,0,-0.0601065583164673,0.135932629881638,0.00692557127331384,0.079310064767677,0.0222996677476407,0.00261549421057223,0,0.478059192877094,0,0,0,0,0.00911318147723559,0,0.00592339586053567,0,0.0255517595198966,0,0.0135831865213382,0.00144281249484932,-2.98405023991228e-05,0,-0.0144632145239891,-0.0179135587942951,-0.0306583855887572,0,0,0,0,0,0.013831546139267,0.00697342335769055,0.000199210174735723,0,0,0,0,0,0.0966234740451382
486,1964:2016,0.523681010271378,0,0,0,0,0,0.071961063133106,0,0,0,0,0,0.0585730046168712,0,0,0,0.146323343342785,0,0,0,0,0,0,0,0,0,0,0.211306108414655,0,0,0,0.0827600584445496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,1964:2016,0.202463527959503,0,0,0,0.0166188996302056,0,0.00714757526082684,0,0.0459282852169884,0,0,0,0,0,0,0,-0.0329723931107316,0,0,0,0.0031373649835586,0,-0.00988993448167361,0,0.0199854243462441,0,-0.00520116775149138,0.516714075150398,0,0.0782961182009715,0.00975564826802425,0.125147224180569,0.0172501082334044,0.223997046467237,0,0.0129874690490611,0,0,-0.050975443456086,0,0,0,0,0,0,-0.00141268624709207,0,0,0,0,0,0,0,0,0,0,-0.0580754957237698,0.0438619241817977,-0.00294825036870948,0,-0.000510125745475614,0,0,0,0
493,1964:2016,0.19249883629534,0,0,0,0,0,0,0.0665236876105966,0,0,0,0.0051326024455621,-0.0590458693566449,0,0,0,-0.00679174143656651,0,0,0,0,0,0,0,0,0,0,0.100436724339953,0,0,0,0,0,0,0.0283479345941335,0,-0.000153282977539487,0,0.186115671395918,0,0,0,0,0,0,0.0577545170809197,0.0205940672815925,0,0,0,0,0,0,0,0,0,0.00998978945426643,0.0122896821082178,0.143875350519315,-0.00144190511063618,0,0,0,0,0
511,1964:2016,0.167916935034764,0,0,0,0,0,0.0454331973955568,-0.00872901914118709,0,0.00688420559334403,0,0,0.070873367275655,0,0,0,0.0320340044863893,0,0,0.0156759869568555,0,0.000265513053711729,-0.004449866602526,0,0,0,0.00422455744640858,-0.000498763669063063,0,0.0712797412063033,0.121529524593837,-0.00211924721162379,0,0,0,0,-0.0449551411512481,0,0.0993884789601508,0,0.0208572685566828,0.00104997243428796,-0.0028135456835927,0,0.00552637091673471,0,0,0,0,-0.00522685343003515,0.0723374002482489,0,0,0,0,0,-0.00343449891658661,0,0.706136725172906,0,0,0,0,0,-0.00868615755870331
512,1964:2016,0.203436139146695,0,0,0,0,0,0.0535914482489835,0,0.142719546644801,0,0,0,-0.00444596414180363,0,0,0,0,0,0,0,0,0.00206167798708464,0,0,0,0,0.0557631531949429,0.0277499817143199,0,0,0,0.0461143356372867,0,0,-0.0163525178590242,0,0,0.0138891665307105,0,0,0.0221582070599853,0,-0.0097249895671374,0,0,0.210165333470574,0.12298711487071,0,0,0.00177486197036852,0,0,0,0,0,0,0,0,0.399072752110829,0.0192583133614036,0,0,0,0,0
